addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
800116,0.7230077121,0.016066838,8.2101542416,0.0803341902,0.1606683805,4.4665809769,0.8836760925,0.016066838,14.5565552699,0.4234497036,0.0094099934,4.808506634,0.0470499671,0.0940999341,2.6159781688,0.5175496377,0.0094099934,8.5254540322,45,1,511,5,10,278,55,1,906,0.0748241632,0.0016627592,0.0083137959,0.8496699423,0.0166275918,0.4622470528,0.091451755,0.0016627592,1.5064598194,10627,77,72.4569492801,601.41,62.24,601.41,17.6701418334,59.376662679,13.0802866011,0.0992181463
800118,1.9455252918,0.0540423692,11.8352788586,0.1837440553,0.1297016861,7.7821011673,1.5564202335,0.0216169477,23.5084306096,0.5221326217,0.0145036839,3.1763067819,0.0493125254,0.0348088414,2.0885304867,0.4177060973,0.0058014736,6.309102512,180,5,1095,17,12,720,144,2,2175,0.7169029791,0.0199139716,0.0677075036,4.3611597897,0.0477935319,2.8676119165,0.5735223833,0.0079655887,8.6625776645,34474,235,68.1673144979,251.08,92.52,251.08,137.3028516807,56.0934392636,12.0738752343,0.0971656365
800119,0.9877040919,0.1209433582,3.3259423503,0.0403144527,0.7659746019,3.9105019149,0.8466035074,0.0201572264,10.0181415037,0.4523633678,0.0553914328,1.5232644018,0.0184638109,0.3508124077,1.7909896603,0.3877400295,0.0092319055,4.5882570162,49,6,165,2,38,194,42,1,497,0.1125841509,0.0137858144,0.0045952715,0.3791098959,0.0873101578,0.4457413322,0.0965007008,0.0022976357,1.1419249592,10832,19,17.540620384,435.23,49.61,435.23,24.887990258,37.2692536751,19.728633291,0.3599466999
800120,0.8428261013,0.1053532627,5.182063607,0.1316915783,0.3094752091,5.972213077,0.9876868374,0.0131691578,13.5444788306,0.3313058108,0.0414132263,2.037013071,0.0517665329,0.1216513524,2.3476122687,0.388248997,0.0051766533,5.3241879125,128,16,787,20,47,907,150,2,2057,0.14951699,0.0186896238,0.0233620297,0.9192958684,0.0549007698,1.0594680466,0.1752152227,0.002336203,2.4027847539,38635,193,49.9547042837,856.09,151.87,856.09,45.1296008597,51.3385640238,1.3838597402,0.0136619122
800121,2.5268373245,0.0990916598,5.7142857143,0.0825763832,0.8257638315,7.7621800165,1.6515276631,0.0165152766,18.6787778695,1.3685152057,0.053667263,3.0948121646,0.0447227191,0.4472271914,4.2039355993,0.8944543828,0.0089445438,10.1162790698,153,6,346,5,50,470,100,1,1131,0.3632996153,0.0142470437,0.0118725364,0.8215795222,0.1187253645,1.1160184262,0.237450729,0.0023745073,2.6855677447,11180,68,60.8228980322,421.14,60.55,421.14,26.5469914993,51.2693317067,9.5535663255,0.0852295146
800122,1.1815165493,0.0404628955,5.0173990451,0.1294812657,0.2751476896,3.1237355345,0.7283321194,0.0080925791,10.5041676782,0.6638475879,0.0227345064,2.8190787978,0.0727504206,0.1545946438,1.7551038967,0.4092211158,0.0045469013,5.9018778702,146,5,620,16,34,386,90,1,1298,0.1793876247,0.0061434118,0.0196589178,0.7617830638,0.0417752003,0.4742713914,0.1105814125,0.0012286824,1.5948297046,21993,118,53.6534351839,813.88,123.57,813.88,27.0224111663,48.0138943134,5.6395408705,0.0554705322
800201,1.7124298789,0.0590493062,6.5544729849,0.0885739593,0.1771479185,4.1925007381,0.9447888987,0,13.7289636847,0.6327042653,0.0218173885,2.4217301189,0.0327260827,0.0654521654,1.5490345806,0.3490782153,0,5.0725428166,58,2,222,3,6,142,32,0,465,0.1167965525,0.0040274673,0.006041201,0.4470488733,0.012082402,0.2859501802,0.0644394772,0,0.9363861536,9167,65,70.9065124905,496.59,33.87,496.59,18.4598964941,48.3103936173,22.5961188731,0.1895378735
800202,4.0397762585,0.062150404,9.6954630205,0.124300808,0.062150404,9.4468614046,0.4350528278,0,23.8657551274,1.2548262548,0.0193050193,3.0115830116,0.0386100386,0.0193050193,2.9343629344,0.1351351351,0,7.4131274131,65,1,156,2,1,152,7,0,384,0.2390321039,0.003677417,0.007354834,0.5736770492,0.003677417,0.5589673813,0.0257419189,0,1.4121281212,5180,27,52.1235521236,271.93,16.09,271.93,19.0490199684,62.1533748586,10.029822735,0.0877676973
800203,0.3447087211,0.1378834885,1.5856601172,0,0.0689417442,5.7566356429,0.7583591865,0.0344708721,8.6866597725,0.1726817475,0.069072699,0.7943360387,0,0.0345363495,2.8837851839,0.3798998446,0.0172681748,4.351580038,10,4,46,0,2,167,22,1,252,0.065837119,0.0263348476,0,0.3028507473,0.0131674238,1.0994798868,0.1448416617,0.0065837119,1.659095398,5791,44,75.9799689173,151.89,29.01,151.89,38.1262755942,58.9468189631,17.0331499541,0.1262399426
800204,2.8112449799,0.0191241155,6.00497227,0.038248231,0,3.3849684452,0.7075922739,0,12.9661503155,1.2503189589,0.0085055711,2.6707493408,0.0170111423,0,1.5054860934,0.3147061325,0,5.7667772391,147,1,314,2,0,177,37,0,678,0.1373087485,0.0009340731,0.0018681462,0.2932989594,0,0.1653309421,0.0345607054,0,0.6333015748,11757,72,61.2401122735,1070.58,52.29,1070.58,10.9818976629,52.5272542634,8.7128580102,0.0765848615
