addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
810203,0.711427301,0,3.7646361346,0.0741070105,0.4742848673,3.8535645472,0.8892841263,0.0148214021,9.7821253891,0.5180228793,0,2.7412044032,0.0539607166,0.3453485862,2.8059572631,0.6475285992,0.0107921433,7.122814591,48,0,254,5,32,260,60,1,660,0.0407899657,0,0.0042489548,0.2158469017,0.0271933104,0.2209456474,0.0509874571,0.000849791,0.5608620279,9266,19,20.5050723074,1176.76,67.47,1176.76,7.8741629559,28.168309694,7.6632373866,0.1574420571
810204,0.2558908199,0.0106621175,2.6761914916,0.0319863525,0.149269645,1.7592493869,0.7250239898,0,5.6082738032,0.2672010688,0.0111333779,2.7944778446,0.0334001336,0.1558672901,1.837007348,0.7570696949,0,5.856156758,24,1,251,3,14,165,68,0,526,0.0160833116,0.000670138,0.0020104139,0.1682046333,0.0093819317,0.1105727669,0.0455693827,0,0.3524925782,8982,39,43.4201736807,1492.23,93.79,1492.23,6.019179349,61.0124598153,17.5922861346,0.1684558317
810205,0.7052789057,0.0213720881,5.6208591579,0.0427441761,0.4488138491,2.3936738619,0.5984184655,0,9.8311605044,0.3504300733,0.0106190931,2.792821493,0.0212381863,0.2230009557,1.1893384305,0.2973346076,0,4.8847828395,33,1,263,2,21,112,28,0,460,0.0213427845,0.000646751,0.0012935021,0.1700955251,0.013581772,0.0724361172,0.0181090293,0,0.2975054812,9417,14,14.8667303812,1546.19,46.79,1546.19,6.0904546013,59.612660812,44.7459304308,0.6007827093
810206,0.5533596838,0,1.5415019763,0.0197628458,0.395256917,1.8972332016,0.4940711462,0,4.9011857708,0.4761904762,0,1.3265306122,0.0170068027,0.3401360544,1.6326530612,0.425170068,0,4.2176870748,28,0,78,1,20,96,25,0,248,0.0207405871,0,0.0007407353,0.0577773498,0.0148147051,0.0711105844,0.0185183813,0,0.1837023429,5880,8,13.6054421769,1350.01,50.6,1350.01,4.3555232924,51.9502417873,38.3447996104,0.5849195263
810303,0.214511041,0.0126182965,2.8769716088,0.0504731861,0.1009463722,1.1987381703,0.5173501577,0.0126182965,4.9842271293,0.2048192771,0.0120481928,2.7469879518,0.0481927711,0.0963855422,1.1445783133,0.4939759036,0.0120481928,4.7590361446,17,1,228,4,8,95,41,1,395,0.018680087,0.0010988286,0.0043953146,0.2505329319,0.0087906292,0.1043887216,0.0450519746,0.0010988286,0.4340373162,8300,64,77.1084337349,910.06,79.25,900.98,9.1202777839,82.3570639157,5.2486301808,0.0329138921
810304,0.3584229391,0.0238948626,10.1792114695,0.1672640382,0.238948626,2.3416965352,0.5973715651,0.0238948626,13.9307048984,0.2459016393,0.0163934426,6.9836065574,0.1147540984,0.1639344262,1.606557377,0.4098360656,0.0163934426,9.5573770492,15,1,426,7,10,98,25,1,583,0.023403857,0.0015602571,0.0109217999,0.6646695375,0.0156025713,0.1529051988,0.0390064283,0.0015602571,0.909629907,6100,24,39.3442622951,640.92,41.85,632.8,9.5175684953,35.6799132742,3.6643490209,0.0488422431
810305,0.3315649867,0.1547303271,5.5481874447,0.2210433245,0.1547303271,3.8019451813,0.6852343059,0,10.8974358974,0.2312316942,0.1079081239,3.8692770156,0.1541544628,0.1079081239,2.6514567597,0.4778788346,0,7.5998150146,15,7,251,10,7,172,31,0,493,0.0490244142,0.0228780599,0.0326829428,0.8203418636,0.0228780599,0.5621466157,0.1013171226,0,1.6112690787,6487,24,36.9970710652,305.97,45.24,305.97,21.2014249763,56.1716541847,19.1745831195,0.2058049315
810401,0.2669514148,0.0747463962,8.093966898,0.0961025093,0.2242391885,2.7656166578,1.1745862253,0,12.6962092899,0.1909854851,0.0534759358,5.7906799083,0.0687547746,0.1604278075,1.9786096257,0.8403361345,0,9.0832696715,25,7,758,9,21,259,110,0,1189,0.029779276,0.0083381973,0.0107205394,0.9029076485,0.0250145918,0.3085132994,0.1310288144,0,1.4163023669,13090,62,47.3644003056,839.51,93.65,839.51,15.5924289169,60.8425507449,13.4781504394,0.1245590076
810402,0.0693481276,0,1.5141007859,0.0346740638,0.2889505317,1.2944983819,0.5663430421,0.0115580213,3.7794729542,0.0925497455,0,2.0206694432,0.0462748727,0.3856239395,1.7275952491,0.7558229215,0.0154249576,5.0439611291,6,0,131,3,25,112,49,1,327,0.0034451673,0,0.0017225836,0.0752194859,0.0143548637,0.0643097894,0.0281355329,0.0005741945,0.1877616174,6483,52,80.2097794231,1741.57,86.52,1741.57,3.7225032586,70.3422166886,9.8675627345,0.0655425567
810403,0.6722813239,0.0443262411,2.1202718676,0.0443262411,0.2290189125,1.9503546099,0.7092198582,0.0073877069,5.7771867612,0.4580460059,0.0302008356,1.4446066341,0.0302008356,0.1560376504,1.3288367645,0.4832133689,0.0050334726,3.9361755675,91,6,287,6,31,264,96,1,782,0.0492874978,0.0032497251,0.0032497251,0.1554451853,0.0167902465,0.1429879056,0.051995602,0.0005416209,0.4235475083,19867,122,61.4083656314,1846.31,135.36,1846.31,10.7603815177,87.2401776073,25.8318119759,0.1737777674
