addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
100111,2.6119402985,1.3059701493,7.0895522388,0.5597014925,0.1865671642,22.7611940299,1.8656716418,0,36.3805970149,0.2958579882,0.1479289941,0.8030431107,0.0633981403,0.0211327134,2.5781910397,0.2113271344,0,4.1208791209,14,7,38,3,1,122,10,0,195,3.3492822967,1.6746411483,0.7177033493,9.0909090909,0.2392344498,29.1866028708,2.3923444976,0,46.6507177033,4732,29,61.2848689772,4.18,5.36,4.18,1132.0574162679,74.2636972316,12.9788282544,0.0957503913
100112,1.7716535433,1.3779527559,9.4488188976,0.3937007874,0,30.5118110236,1.968503937,0,45.4724409449,0.3016085791,0.2345844504,1.6085790885,0.0670241287,0,5.1943699732,0.3351206434,0,7.7412868633,9,7,48,2,0,155,10,0,231,1.9189765458,1.4925373134,0.4264392324,10.2345415778,0,33.0490405117,2.132196162,0,49.2537313433,2984,19,63.672922252,4.69,5.08,4.69,636.2473347548,95.9876792681,32.3147570161,0.2023965631
100201,2.187966186,0.3480855296,3.9781203381,0.1989060169,0.2983590254,9.6966683242,1.1934361014,0.0497265042,17.9512680259,0.3153217715,0.0501648273,0.5733123119,0.0286656156,0.0429984234,1.3974487602,0.1719936936,0.0071664039,2.5870718074,44,7,80,4,6,195,24,1,361,2.0027309968,0.3186162949,0.1820664543,3.6413290851,0.2730996814,8.875739645,1.0923987255,0.0455166136,16.4314974966,13954,149,106.779418088,21.97,20.11,21.97,635.1388256714,64.3653510103,42.4140670778,0.2478256701
100202,3.8314176245,0.8939974457,11.3665389527,0.8939974457,0.1277139208,21.2005108557,3.1928480204,0,41.5070242656,0.2586206897,0.0603448276,0.7672413793,0.0603448276,0.0086206897,1.4310344828,0.2155172414,0,2.8017241379,30,7,89,7,1,166,25,0,325,2.9041626331,0.6776379477,0.6776379477,8.6156824782,0.0968054211,16.0696999032,2.4201355276,0,31.4617618587,11600,78,67.2413793103,10.33,7.83,10.33,1122.9428848016,65.0687420809,2.1726372295,0.0164207939
100203,1.2719563901,0.3028467595,3.7552998183,0.2422774076,0.1211387038,13.0829800121,1.1508176863,0,19.9273167777,0.222504768,0.0529773257,0.6569188387,0.0423818606,0.0211909303,2.2886204704,0.2013138377,0,3.4859080314,21,5,62,4,2,216,19,0,329,1.2020606754,0.2862049227,0.2289639382,3.5489410418,0.1144819691,12.3640526617,1.0875787064,0,18.8322839153,9438,89,94.2996397542,17.47,16.51,17.47,540.2404121351,72.3637268095,21.9359129447,0.1316180838
100204,1.9607843137,1.0893246187,13.2897603486,1.0893246187,0.2178649237,11.5468409586,1.9607843137,0,31.1546840959,0.1186552406,0.0659195781,0.804218853,0.0659195781,0.0131839156,0.698747528,0.1186552406,0,1.8852999341,9,5,61,5,1,53,9,0,143,2.7272727273,1.5151515152,1.5151515152,18.4848484848,0.303030303,16.0606060606,2.7272727273,0,43.3333333333,7585,70,92.2874093606,3.3,4.59,3.3,2298.4848484849,59.0246724093,33.2627369513,0.2198286916
100301,2.3782398177,0.1139276559,9.5129592709,0.1281686129,0.3845058388,10.7234406152,2.6488180006,0.028481914,25.918541726,0.4457017801,0.0213509835,1.7828071206,0.0240198564,0.0720595692,2.00966132,0.4964103659,0.0053377459,4.8573487416,167,8,668,9,27,753,186,2,1820,0.4495410374,0.0215349,0.0242267625,1.7981641498,0.0726802875,2.0269724622,0.5006864249,0.005383725,4.8991897494,37469,265,70.7251327764,371.49,70.22,371.49,100.8613959999,63.1490742553,7.5760585212,0.056590875
100302,2.2633339894,0.0393623302,4.2314505019,0,0.2755363117,3.3457980712,1.259594568,0,11.4150757725,0.5602104443,0.0097427903,1.047349961,0,0.0681995323,0.8281371785,0.3117692907,0,2.8254091972,115,2,215,0,14,170,64,0,580,0.4045592064,0.0070358123,0,0.7563498206,0.049250686,0.5980440442,0.2251459931,0,2.0403855625,20528,192,93.5307872175,284.26,50.81,284.26,72.2155772884,54.3863884928,39.1443987247,0.2646372778
100303,1.7610403685,0.0812787862,4.3348685993,0.0541858575,0.5147656462,3.6304524519,0.4876727174,0,10.864264427,0.7367108693,0.0340020401,1.8134421399,0.0226680267,0.2153462541,1.5187577921,0.2040122407,0,4.544939363,65,3,160,2,19,134,18,0,401,0.2266782912,0.010462075,0.0069747167,0.5579773322,0.0662598082,0.4673060157,0.0627724499,0,1.3984306888,8823,43,48.7362575088,286.75,36.91,286.75,30.7689625109,49.3307902669,0.5945327581,0.0060625131
100304,2.0649432535,0.078814628,7.6923076923,0.0630517024,0.4886506936,7.1090794451,1.1349306431,0.0157629256,18.6475409836,1.2058173785,0.0460235641,4.4918998527,0.0368188513,0.2853460972,4.1513254786,0.6627393225,0.0092047128,10.8891752577,131,5,488,4,31,451,72,1,1183,0.3412613645,0.0130252429,0.0104201943,1.2712637091,0.0807565061,1.1748769115,0.1875634981,0.0026050486,3.0817724751,10864,58,53.3873343152,383.87,63.44,383.87,28.3012478183,59.4937466478,6.1064123327,0.0540959768
