addrcode,predicted,actual
800101,87.4743206153007,87.68716516324
800102,73.9158034424683,77.1001150747986
800103,73.3211366743529,68.4048219792543
800106,49.1334032206059,37.9112143818027
800107,53.6480456731956,73.2330018812147
800108,68.663711377184,61.3685179502915
800112,55.4358616366064,35.5685741186316
800113,58.3653867228879,41.2591687041565
800114,32.2216184392714,55.8547775782965
800115,61.452485359322,63.5668880794229
800116,51.2866133665957,72.4569492801355
800118,73.198832416188,68.1673144978825
800119,36.3244261364421,17.5406203840473
800120,45.9310222984923,49.9547042836806
800121,44.9408344101618,60.8228980322003
800122,46.3545245866568,53.6534351839222
800201,46.9102156137768,70.906512490455
800202,51.998195306895,52.1235521235521
800203,46.6961452901848,75.9799689172854
800204,48.3283423943005,61.2401122735391
800205,48.2775638530202,81.87967248131
800301,45.3964494275559,77.4278215223097
800302,46.8362199294865,88.3602378929481
800303,48.3492364653429,58.9415600702283
800304,46.0763501842164,63.5616438356164
800305,43.8471949719105,64.1025641025641
800401,46.4498740030207,72.391412880679
800403,46.0107541755781,53.8428137212332
800404,48.0760175033771,47.4769397721107
800405,43.863864584557,33.2438307121852
800406,46.3677673659801,62.6506024096386
800407,43.8854010790367,40.8777969018933
800409,47.4095415795286,69.1031941031942
800410,47.0129918532148,60.3795284646348
800415,51.0705512787839,31.6344463971881
800416,55.7549583554508,54.9450549450549
800501,48.0938195807585,103.184486746131
800502,43.8803414340755,93.8628158844765
800503,47.4131750891251,74.4992672203225
800504,48.4974224312607,71.2105798575788
800505,45.2826218362757,40.211108318673
800601,50.0489307331393,42.0075171346451
800603,44.8254632181014,46.1538461538462
800604,47.2620665747778,56.497175141243
800605,43.7069946629795,43.3682688832671
800606,40.856102000657,20.4359673024523
800607,43.179224844555,42.288003561095
800610,42.4801306469837,53.9568345323741
800611,45.4998574663571,41.117255068765
800612,44.4548199569106,50.1646026022887
800613,46.5808818214054,38.2939389937937
800701,45.0062397840942,24.4421666798076
800702,45.8980912851501,31.2760633861551
800703,40.0809824382372,40.127300401273
800704,46.2602889971579,22.8679042238364
800705,46.3126255282107,17.4689440993789
800706,46.494216068959,26.6367587270434
800707,44.3048137562899,30.467163168585
800708,43.8520083870185,17.799532762265
800709,45.9571653148618,42.3092670943088
800710,44.6792996112396,36.8007850834151
800711,46.3358654553722,27.4641440341776
800801,46.7165482033729,21.8878248974008
800802,47.4346762097381,29.9504665361133
800803,46.3528639061843,37.9229871645274
800804,46.8049913372562,38.1372942593336
800806,49.8384909723451,33.5232986925914
800807,46.6707290919718,37.2714486638537
800809,45.3479076579134,48.2064369771728
800810,50.8246233193658,61.2890470541716
800811,41.9680286819817,26.6914239294418
800813,50.5505533151064,53.932584269663
800901,36.2358430368785,43.4668932609974
800902,72.4508016126263,51.9343670028602
800903,48.0941503025511,52.6793823796549
800904,43.0773274977002,37.9119276757072
800905,47.3403354366592,36.1757105943152
800906,46.4930874346271,41.5863677857794
800907,47.1768352330119,51.063829787234
800908,43.8337890977044,34.1494845360825
800909,47.8846493078257,47.4410580793559
800910,45.4466585079356,42.2322775263952
800911,47.8743849543035,65.3221197027843
800912,48.4275846692,66.6243654822335
800913,46.7741645803012,49.5189586870402
801001,47.337699389762,97.436797752809
801002,49.5580648403487,92.6695972436735
801003,46.1272038898439,112.280701754386
801101,47.3397675914567,39.5946580766391
801102,46.2757762303626,12.4555160142349
801103,46.3229678708452,17.2099615306742
801104,46.8448304850854,50.3561778432817
801105,46.433841768442,39.8307194423699
801106,47.8717935704837,9.86301369863011
801107,45.3697523250008,27.402437872059
801202,39.7206068456737,7.14158186038208
801203,43.2978839870806,28.6217525319243
801204,43.1559156938609,11.2994350282486
801205,41.438776422532,19.7076695680735
801206,44.1678854575137,11.6595413913719
801207,38.2113640807508,13.1199160325374
801208,38.7557906350563,24.0673886883273
801209,34.7277465060046,54.6991546494282
801210,32.2127509091978,27.7808645405045
801211,29.7759855917035,46.5657741559953
801212,23.2975747434787,19.8685618217943
801213,45.6315569024354,18.8146754468485
801214,46.7209248140251,48.1442577030812
801215,37.5926461547965,16.3185378590078
801216,31.0690371560041,52.3560209424084
801217,36.016805106119,22.5733634311512
801218,38.7059633264342,36.2976406533576
801301,43.4629568000198,29.5230885692657
801303,40.5236810350088,28.0238654854457
801304,42.7889246732054,29.1088222122705
801305,46.8825206619853,46.0613631040675
801306,43.1108599359821,37.0503167204494
801401,46.7175817771318,44.5448676565526
801402,44.799752124407,33.9839665388637
801403,45.8902214835105,30.016509079994
801404,45.8579435819902,34.7530914087125
801405,47.0468348422002,44.5026178010471
801406,45.5852640284792,41.4528227398342
801407,44.6868727789609,13.71058207653
801408,46.7727715291438,46.0421462723571
801409,44.5832665963111,21.4918957643055
801501,47.0572987189267,56.5832426550599
801502,46.6227681848938,29.1067855193742
801601,42.4770232808873,40.9709338280767
801602,40.2052095355821,54.7497838824321
801603,46.193116261189,60.2795947159164
801604,45.4646115443248,63.3322507307568
801605,44.1284473263699,51.7110266159696
801606,35.8408617206657,16.6343221513723
801607,41.9469570614282,10.0806451612903
801608,42.7423617413857,33.6247478143914
801609,45.0016997273136,20.0481154771451
801610,38.710571841011,18.2398540811674
801611,44.813211151053,78.4883720930232
801701,44.4486497540692,71.5665927145209
801702,45.0843701181573,84.1316629820683
801703,45.9051581411818,46.6562986003111
801704,43.1936129717386,49.6407576747224
801801,45.5948968005989,19.1497510532363
801802,44.6527981385918,34.706154558075
801803,46.7616284976163,27.0578182853888
801901,69.2713641369661,74.5804847731511
801902,45.456692439332,59.06238464378
801903,47.1356630486774,51.3440048323769
801904,49.3645599060006,46.0310965630114
801905,47.5436727826389,44.7802966694654
801906,46.1381774316887,61.1403384046637
802001,54.9038992775784,83.6120401337793
802002,38.6859303478818,61.2224745729239
802003,46.9662610518421,69.0950056327451
802004,46.312805161973,59.4530321046374
802101,46.1629340819113,34.2172797262618
802102,46.1148598635511,49.4549858700041
802103,42.9992075420064,33.218176986447
802104,44.5891787433795,37.6476697390627
802201,45.1672959649505,54.7562183258577
802202,45.0811699006871,59.8880354120558
802203,46.2471481863609,55.3250345781466
802301,44.6487836076901,35.8131206251018
802302,30.5889246723614,70.9345628657563
802303,41.8649849409944,49.4693290160101
802304,43.1703344089752,33.4409594095941
