addrcode,predicted,actual
100101,71.4961239731248,61.1396429444852
100102,70.0631458745525,37.9768686345589
100103,59.2907362783374,64.6678424456203
100104,75.5656125270267,75.7796560769456
100105,68.5527026151414,54.8780487804878
100106,75.8854227942213,63.5593220338984
100107,64.7509967877916,66.9423114786375
100108,64.4680901144418,85.3374709076803
100109,71.8966071908317,84.1167738743196
100110,56.2563071915196,60.1719197707735
100111,70.1188960052325,61.2848689771766
100112,75.8566427719796,63.6729222520107
100201,70.3058598885395,106.779418088004
100202,79.3805566846142,67.2413793103449
100203,72.8283172685624,94.2996397541853
100204,78.8168828930228,92.28740936058
100301,69.2559948875908,70.7251327764285
100302,67.4574485058509,93.5307872174591
100303,66.5110279499475,48.7362575087839
100304,67.7325773205274,53.3873343151694
100305,71.8308426278131,61.2763413540577
100306,67.6377683584661,53.344040380865
100307,66.6752398118033,52.1529820807703
100401,65.7286613699917,63.6302746148694
100402,81.8610341925497,36.3188673437981
100403,68.3832873777147,44.9017773620206
100404,78.4966077914294,99.9310820124052
100405,62.8978099771574,70.8241353936718
100502,82.6777064221974,72.2514726580826
100508,82.1555181349441,46.0421649299885
100601,91.889992074601,100.202643062272
100608,91.1059662483475,133.470679125892
100701,85.3089927820987,63.4381195128858
100702,73.6889701457002,85.268267086449
100703,70.1754698582335,138.636738735765
100704,71.4959928835146,59.1553924522101
100801,92.7049883460547,84.0968997113091
100802,95.5653125793796,72.662462297779
100803,87.4432481499534,80.5547058223718
100804,66.3540280496798,61.2046181666435
100805,70.6932582606333,56.739551619153
101001,81.6352607390319,72.2401675971888
101002,67.7272997192185,79.8826582421302
101102,67.0283246299282,62.2471675299668
101103,72.9632714683506,55.5447910611639
101104,69.7966623880823,70.8980418636057
101105,68.256675375655,37.0762711864407
101106,66.7902165793562,47.6847785167524
101203,77.8649188656967,73.0656978998714
101204,70.3024369310084,88.3016646499002
101301,75.0221925341813,48.1770833333333
101302,86.4941118656548,68.4708183893055
101303,60.3043310323755,59.4635627530365
101401,78.5750890937226,95.2816842806025
101501,81.6186283657169,66.3811563169165
101502,69.4189044192089,42.5431340108721
101503,74.4809570159522,75.3321462813314
101504,78.0599910086572,228.444236176195
101505,67.6380886594625,64.6026328620185
101506,75.4337765182287,61.20020400068
101507,61.9009643554299,45.7278877474317
101601,68.1435711731041,91.9474175705767
101602,70.1690159078168,75.4178556869141
101701,87.9585474249765,152.874841168996
101702,78.2478715161728,75.6332082551595
101704,98.6353462077818,93.196405648267
101801,58.7005421866857,67.3154313309432
101802,74.5188829263103,83.7081459270365
101803,72.8734514985382,68.8475007959249
101804,68.2973248566523,54.0172015942942
101901,91.929587095577,50.656660412758
101902,78.6373185417732,89.9251949705554
101904,70.7725267978303,85.2293246659444
101905,69.6383150355537,62.255608149825
101907,66.6448118841765,52.0788867070776
102004,74.2627942112371,75.0660581311555
102005,80.6510802317661,77.1152719084488
102006,72.3609907833369,113.552728419725
102007,84.2807065511151,76.2968970592653
102009,81.5419839861477,107.204944948812
102105,68.2126679412644,69.9631772751184
102107,70.346548160148,62.8982059345924
102201,78.9671345569593,62.6695104931933
102202,73.3381032672773,55.8243394119836
102206,75.4779067022921,64.6420295157946
102207,79.5770236201668,94.16592140565
102208,75.0600268237824,77.4021352313168
102209,75.39844711921,75.5817808128356
102210,74.0156335382995,59.8434862666871
102302,73.0971531806936,47.0567344402024
102303,72.2180967247043,46.6041786668063
102401,77.6932144605132,104.129263913824
102402,75.4407666749307,76.4630328329453
102501,82.7915425750657,135.056756980694
102502,69.1470776222512,101.762027321323
102503,76.8236015050717,99.8476010300068
102504,71.026549986199,109.274527594777
102601,93.5032673160592,99.8660923156349
102701,85.1201364902568,99.8823225510175
102801,88.2662836880444,43.2562935392199
102802,77.6867258675738,63.1199278629395
102803,74.2088816600384,64.5883130753191
102902,88.3291905581561,31.1526479750779
103001,83.7395433804114,135.932056740818
103002,82.3345774366608,60.3040119611264
103003,90.680372630756,103.717395769152
103004,80.2182918927814,118.345093008339
103005,73.0013548204127,101.60739568585
103101,72.0549618219973,83.8886711093689
103102,74.2044479162624,51.0015522211546
103103,87.8670003196921,76.7013145018382
103201,74.1518917099314,94.737095531587
103203,74.2637131831579,61.3758417867189
103301,71.2282240614271,87.0582120582121
103302,84.6002218171034,82.1482201218974
103303,78.8000261347929,57.9869635147719
103401,84.048166070397,108.920650566782
103501,81.6631729354866,70.0847412460694
103502,78.6660129498171,56.2176748369687
103503,86.1610121647495,75.7458306571283
103504,82.8974694328753,106.169702103628
103602,78.5677733406593,77.5008752665584
103604,86.827084249889,37.1833321142077
103605,69.2890723606468,20.8055925432756
103701,67.0487588778443,72.5156391024245
103702,74.9869395823569,91.743119266055
103703,57.3527239415784,73.4303422258152
103704,73.057024625319,91.3854027050079
103801,93.2994413066948,117.636975294092
103802,88.6930412199157,74.831899356518
103901,71.7429434748705,153.274500696702
103902,80.848294097837,85.9738699504431
103903,79.7614842297425,171.789436495319
104001,88.4145990557822,134.912383029442
104003,70.8186436660011,54.3937211266206
104004,67.180789916718,56.7031959983199
104101,82.6522474988685,68.5214339174646
104102,82.1732476548796,70.1217341781163
104201,75.7277028132671,36.7614322966355
104202,67.6259743738779,33.5142920452028
104203,74.6103594748786,43.7802813612749
104301,76.4149499184172,84.2905184085251
104302,89.4365785143243,22.7937468482098
104401,76.4174181572188,99.1766861089469
104501,100.898613601062,244.974874371859
104502,119.117833253452,57.1198712791633
104503,66.6972204848253,72.7553141554348
104504,97.9075316559406,72.9150506416081
104601,70.5048486097941,53.9601243826596
104602,67.1553432788578,45.6033676333022
104603,78.2327255398968,50.4021050290924
104604,69.6757396441424,68.4237202230107
104605,66.8778375874132,49.408320117116
104701,70.9807429332145,67.8091346728536
104801,70.0119059852164,72.0824304603547
104802,71.0676308658159,45.2267670097871
104901,76.046550118835,63.6160305063617
104902,74.8651853887285,47.7194038837875
105001,79.8683760185901,90.4457885304659
