addrcode,predicted,actual
810103,59.7686826581956,108.458591217212
810105,73.4719953904134,128.902893153824
810106,94.3035673810684,171.795637884673
810111,123.251098934867,149.770759042282
810115,82.6997156312565,146.543712917292
810116,89.7530694132906,202.802074463968
810117,34.7604371870976,94.0991962360321
810118,143.598931707712,133.065986146555
810201,65.4073794175637,34.0136054421769
810202,0.602095847359159,17.1057133082449
810203,23.5207934866535,20.5050723073603
810204,54.4522791799875,43.4201736806947
810205,26.9297342349808,14.8667303812254
810206,41.408326681026,13.6054421768707
810303,74.0285246480409,77.1084337349397
810304,38.2199108432452,39.344262295082
810305,33.8318540744327,36.9970710652073
810401,50.8631766787557,47.3644003055768
810402,73.4316231207503,80.2097794231066
810403,71.4943235948484,61.4083656314492
810404,41.6556754909281,47.3449684366877
810405,91.476850293381,92.151584178919
810406,90.2234965289243,41.3844996237773
810407,63.5799232396151,58.7674714104193
810501,29.7066987719768,21.8693543786251
810503,60.1157366250262,40.4203718674212
810504,83.0804520052835,63.173007896626
810505,34.3442457780715,95.9010054137664
810506,69.2238865285219,34.8712446351931
810507,50.8405552095585,36.7816091954023
810508,19.0844881687404,30.6670074111935
810509,80.9048622744813,53.4230312623665
810601,65.2592792864457,16.6362563056778
810602,33.629978316607,9.2980009298001
810603,59.6093042303923,36.7550538199003
810604,64.0226878434285,25.5406095692151
810701,45.7354973499789,30.126963632451
810702,72.7264927622967,47.8311067128484
810703,9.22408949997962,56.4402338238259
810704,59.9728693445791,23.1719876416066
810801,40.3137199238153,32.8542094455852
810803,47.5081804889446,29.0822921154675
810804,4.97801754747162,20.7864195392344
810805,27.9827157502904,23.2738557020946
810806,33.3962967287323,11.6414435389988
810807,27.6908320853343,19.1815856777493
810808,77.5568241966487,18.8781014023732
