addrcode,land_area,image_area
801603,463.5,65.14
801703,686.26,56.53
801905,535.89,35.0
800910,1005.29,24.91
800908,748.05,47.92
800701,652.12,74.17
801901,71.72,6.63
800709,358.01,48.27
800704,1615.0,53.99
801604,756.79,11.79
801605,412.55,29.43
800703,248.06,33.38
801704,655.53,42.2
801602,99.22,21.74
800710,484.93,25.05
801610,231.54,21.6
800705,1140.22,33.59
800702,199.78,28.09
800708,382.81,31.69
801609,622.85,42.13
800711,473.39,42.27
800707,544.06,47.42
801503,544.3,6.28
801502,1519.87,127.38
801501,778.29,84.9
801409,693.07,70.29
801406,1202.58,24.84
801401,363.26,66.34
801402,513.79,80.45
801408,1141.05,29.64
801403,751.47,35.64
801404,369.15,64.5
802102,3905.97,41.36
801407,768.35,38.53
800802,378.29,60.69
801405,480.81,48.2
800811,736.82,43.68
802101,1164.44,22.87
800806,467.51,60.76
800803,602.48,77.42
802103,479.44,51.16
800502,1094.61,32.6
800503,1795.38,27.74
802104,1044.75,52.72
800801,302.76,61.61
800809,278.87,62.67
800813,194.28,29.5
800409,596.78,29.08
800804,238.24,31.55
810503,695.7,75.72
810507,651.0,69.94
810604,692.87,86.87
810205,1546.19,46.79
810508,780.69,43.4
810506,655.04,91.67
810501,796.77,77.98
810509,413.63,54.62
810502,1240.08,12.77
810202,1122.16,75.65
810504,969.48,74.52
810505,1007.23,30.2
810203,1176.76,67.47
810204,1492.23,93.79
810111,1397.45,33.8
810201,1068.25,65.42
810105,1081.72,40.58
810103,1447.73,140.72
810206,1350.01,50.6
810808,1078.45,85.39
810106,1666.76,61.12
810407,1346.69,74.67
810406,1577.04,75.58
810805,624.97,74.74
810702,514.84,50.32
810701,678.57,39.8
810117,640.17,59.07
810703,686.52,26.89
810801,426.0,83.77
810115,648.91,46.44
810101,172.47,18.7
810116,371.15,69.8
810118,730.32,2.05
810106,4.81,0.07
810807,573.0,93.23
810804,253.49,33.95
810704,688.63,60.76
810803,971.2,74.95
810402,1741.57,86.52
810806,208.03,44.74
810401,839.51,93.65
810405,1157.39,87.51
810403,1846.31,135.36
810304,632.8,41.85
810303,900.98,79.25
810404,1682.42,82.64
810305,305.97,45.24
810301,404.26,3.32
810603,965.9,70.71
810601,2161.03,160.76
810602,1012.55,66.41
