date,addrcode,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2017-06-01,103902,กรุงเทพมหานคร,เขตวัฒนา,แขวงคลองตันเหนือ,Bangkok,,,286,39,563,27,14,1283,140,16,2368
2017-06-01,101302,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงสัมพันธวงศ์,Bangkok,,,25,10,80,8,0,179,22,2,326
2011-12-01,104502,กรุงเทพมหานคร,เขตวังทองหลาง,แขวงสะพานสอง,Bangkok,,,153,17,523,10,21,850,135,6,1715
2012-02-01,104802,กรุงเทพมหานคร,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,Bangkok,,,271,13,837,14,61,1302,342,5,2845
2017-08-01,101104,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลำปลาทิว,Bangkok,,,114,22,1195,18,74,899,211,3,2536
2017-06-01,102601,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,Bangkok,,,666,125,1861,71,78,3176,381,20,6378
2017-06-01,104503,กรุงเทพมหานคร,เขตวังทองหลาง,แขวงคลองเจ้าคุณสิงห์,Bangkok,,,3,0,4,0,0,9,3,0,19
2017-05-01,101602,กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดท่าพระ,Bangkok,,,47,20,253,13,18,648,48,3,1050
2017-08-01,100307,กรุงเทพมหานคร,เขตหนองจอก,แขวงลำผักชี,Bangkok,,,26,5,81,1,7,69,85,0,274
2017-05-01,103004,กรุงเทพมหานคร,เขตจตุจักร,แขวงจอมพล,Bangkok,,,90,12,416,5,13,792,99,2,1429
2012-01-01,102702,กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงนวมินทร์,Bangkok,,,135,19,594,8,45,1192,96,2,2091
2017-05-01,101801,กรุงเทพมหานคร,เขตคลองสาน,แขวงสมเด็จเจ้าพระยา,Bangkok,,,6,14,111,2,14,267,28,1,443
2011-12-01,103201,กรุงเทพมหานคร,เขตประเวศ,แขวงประเวศ,Bangkok,,,517,37,1361,29,93,2198,249,8,4492
2017-06-01,100401,กรุงเทพมหานคร,เขตบางรัก,แขวงมหาพฤฒาราม,Bangkok,,,24,18,98,8,2,196,26,1,373
2017-06-01,100204,กรุงเทพมหานคร,เขตดุสิต,แขวงสี่แยกมหานาค,Bangkok,,,9,5,61,5,1,53,9,0,143
2017-05-01,103605,กรุงเทพมหานคร,เขตดอนเมือง,แขวงสนามบิน,Bangkok,,,104,16,276,11,16,555,102,3,1083
2012-02-01,103602,กรุงเทพมหานคร,เขตดอนเมือง,แขวงสีกัน,Bangkok,,,429,44,1567,26,151,2826,182,10,5235
2012-02-01,100304,กรุงเทพมหานคร,เขตหนองจอก,แขวงคลองสิบสอง,Bangkok,,,131,5,488,4,31,451,72,1,1183
2012-02-01,104201,กรุงเทพมหานคร,เขตสายไหม,แขวงสายไหม,Bangkok,,,487,37,1761,31,197,2951,314,11,5789
2017-06-01,100203,กรุงเทพมหานคร,เขตดุสิต,แขวงสวนจิตรลดา,Bangkok,,,21,5,62,4,2,216,19,0,329
2011-12-01,100608,กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,Bangkok,,,564,75,2312,60,79,4291,407,15,7803
2012-01-01,101105,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงทับยาว,Bangkok,,,77,9,485,13,37,518,130,3,1272
2017-05-01,102007,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนศรี,Bangkok,,,113,12,418,8,23,962,77,3,1616
2016-11-01,101106,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงขุมทอง,Bangkok,,,32,3,102,2,8,75,43,0,265
2017-06-01,100405,กรุงเทพมหานคร,เขตบางรัก,แขวงสี่พระยา,Bangkok,,,19,19,90,4,3,256,26,2,419
2017-06-01,100404,กรุงเทพมหานคร,เขตบางรัก,แขวงบางรัก,Bangkok,,,16,6,78,8,7,157,25,3,300
2012-01-01,102703,กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงนวลจันทร์,Bangkok,,,295,37,1428,24,71,2389,264,7,4515
2011-12-01,103801,กรุงเทพมหานคร,เขตลาดพร้าว,แขวงลาดพร้าว,Bangkok,,,623,69,2278,65,120,5411,445,23,9034
2012-01-01,101001,กรุงเทพมหานคร,เขตมีนบุรี,แขวงมีนบุรี,Bangkok,,,636,63,2972,49,181,4165,458,12,8536
2017-06-01,103003,กรุงเทพมหานคร,เขตจตุจักร,แขวงจันทรเกษม,Bangkok,,,248,35,976,23,57,1825,226,7,3397
2017-06-01,103005,กรุงเทพมหานคร,เขตจตุจักร,แขวงจตุจักร,Bangkok,,,153,51,528,38,31,1030,209,4,2044
2012-01-01,100601,กรุงเทพมหานคร,เขตบางกะปิ,แขวงคลองจั่น,Bangkok,,,577,81,2106,65,101,3741,342,16,7029
2012-01-01,102701,กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงคลองกุ่ม,Bangkok,,,300,48,1295,14,59,2362,243,7,4328
2017-07-01,102502,กรุงเทพมหานคร,เขตบางพลัด,แขวงบางอ้อ,Bangkok,,,35,5,79,4,8,189,26,0,346
2017-05-01,101704,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงสามเสนนอก,Bangkok,,,308,15,826,13,31,1716,156,14,3079
2012-02-01,102303,กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองค้างพลู,Bangkok,,,269,49,1378,28,142,2196,293,7,4362
2017-05-01,101802,กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองสาน,Bangkok,,,19,12,119,8,5,200,36,1,400
2017-05-01,101502,กรุงเทพมหานคร,เขตธนบุรี,แขวงหิรัญรูจี,Bangkok,,,6,4,48,1,3,74,10,0,146
2012-01-01,102206,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางจาก,Bangkok,,,18,1,74,2,5,155,20,1,276
2017-06-01,103302,กรุงเทพมหานคร,เขตคลองเตย,แขวงคลองตัน,Bangkok,,,102,9,167,21,9,476,39,6,829
2017-06-01,100702,กรุงเทพมหานคร,เขตปทุมวัน,แขวงวังใหม่,Bangkok,,,19,15,90,8,2,198,69,3,404
2017-06-01,100703,กรุงเทพมหานคร,เขตปทุมวัน,แขวงปทุมวัน,Bangkok,,,12,7,53,5,2,201,24,6,310
2017-06-01,100704,กรุงเทพมหานคร,เขตปทุมวัน,แขวงลุมพินี,Bangkok,,,64,25,180,24,5,471,53,5,827
2017-06-01,103901,กรุงเทพมหานคร,เขตวัฒนา,แขวงคลองเตยเหนือ,Bangkok,,,59,18,135,14,9,436,38,9,718
2017-06-01,100102,กรุงเทพมหานคร,เขตพระนคร,แขวงวังบูรพาภิรมย์,Bangkok,,,12,8,62,2,3,163,11,4,265
2017-05-01,102209,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงปากคลองภาษีเจริญ,Bangkok,,,40,15,155,7,6,310,50,0,583
2017-06-01,100403,กรุงเทพมหานคร,เขตบางรัก,แขวงสุริยวงศ์,Bangkok,,,27,15,73,5,1,169,27,3,320
2017-05-01,104501,กรุงเทพมหานคร,เขตวังทองหลาง,แขวงวังทองหลาง,Bangkok,,,245,13,902,11,38,1283,250,5,2747
2012-01-01,102202,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางด้วน,Bangkok,,,27,17,255,3,11,452,47,2,814
2017-05-01,100402,กรุงเทพมหานคร,เขตบางรัก,แขวงสีลม,Bangkok,,,40,10,135,20,3,292,39,5,544
2017-05-01,101902,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงตลิ่งชัน,Bangkok,,,69,3,319,9,8,603,113,2,1126
2011-12-01,104401,กรุงเทพมหานคร,เขตสะพานสูง,แขวงสะพานสูง,Bangkok,,,349,47,2160,29,181,4844,409,12,8031
2017-05-01,102501,กรุงเทพมหานคร,เขตบางพลัด,แขวงบางพลัด,Bangkok,,,113,10,341,14,30,803,105,2,1418
2017-06-01,101401,กรุงเทพมหานคร,เขตพญาไท,แขวงสามเสนใน,Bangkok,,,270,50,621,38,23,1672,213,17,2904
2017-06-01,103102,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงวัดพระยาไกร,Bangkok,,,16,11,96,5,2,248,44,0,422
2011-12-01,103203,กรุงเทพมหานคร,เขตประเวศ,แขวงดอกไม้,Bangkok,,,271,18,842,17,47,1081,198,1,2475
2017-05-01,101701,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงห้วยขวาง,Bangkok,,,197,34,628,26,24,1210,189,6,2314
2017-05-01,102503,กรุงเทพมหานคร,เขตบางพลัด,แขวงบางบำหรุ,Bangkok,,,36,11,218,11,14,461,43,2,796
2017-07-01,102105,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงท่าข้าม,Bangkok,,,255,16,824,16,26,853,184,5,2179
2017-05-01,101506,กรุงเทพมหานคร,เขตธนบุรี,แขวงดาวคะนอง,Bangkok,,,29,11,120,11,7,316,50,0,544
2012-01-01,104001,กรุงเทพมหานคร,เขตบางแค,แขวงบางแค,Bangkok,,,153,26,1129,30,62,1803,195,7,3405
2016-11-01,104004,กรุงเทพมหานคร,เขตบางแค,แขวงหลักสอง,Bangkok,,,15,0,31,2,1,66,26,0,141
2012-01-01,103501,กรุงเทพมหานคร,เขตจอมทอง,แขวงบางขุนเทียน,Bangkok,,,103,21,631,16,24,1080,124,5,2004
2017-06-01,103103,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางโคล่,Bangkok,,,233,27,516,22,18,1055,148,7,2026
2012-01-01,102210,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงคูหาสวรรค์,Bangkok,,,18,5,60,1,5,166,18,1,274
2012-01-01,102207,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางแวก,Bangkok,,,44,12,381,7,29,640,72,3,1188
2017-06-01,100104,กรุงเทพมหานคร,เขตพระนคร,แขวงสำราญราษฎร์,Bangkok,,,12,4,29,3,1,78,5,0,132
2017-06-01,103301,กรุงเทพมหานคร,เขตคลองเตย,แขวงคลองเตย,Bangkok,,,66,21,226,30,5,555,76,8,987
2017-05-01,102009,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงอรุณอัมรินทร์,Bangkok,,,72,7,227,9,12,539,73,2,941
2017-05-01,100202,กรุงเทพมหานคร,เขตดุสิต,แขวงวชิรพยาบาล,Bangkok,,,30,7,89,7,1,166,25,0,325
2017-05-01,102504,กรุงเทพมหานคร,เขตบางพลัด,แขวงบางยี่ขัน,Bangkok,,,48,14,185,12,18,468,48,3,796
2017-08-01,101103,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสามประเวศ,Bangkok,,,83,3,452,14,24,360,408,1,1345
2017-05-01,100201,กรุงเทพมหานคร,เขตดุสิต,แขวงดุสิต,Bangkok,,,44,7,80,4,6,195,24,1,361
2017-05-01,101901,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงคลองชักพระ,Bangkok,,,24,5,183,6,7,383,37,1,646
2016-11-01,101905,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางระมาด,Bangkok,,,78,10,196,7,8,382,52,0,733
2017-04-01,101102,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,Bangkok,,,14,2,87,0,4,59,33,0,199
2017-05-01,102006,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนนนท์,Bangkok,,,18,1,50,1,4,168,9,0,251
2017-07-01,104801,กรุงเทพมหานคร,เขตทวีวัฒนา,แขวงทวีวัฒนา,Bangkok,,,161,4,444,8,32,578,134,1,1362
2017-07-01,100701,กรุงเทพมหานคร,เขตปทุมวัน,แขวงรองเมือง,Bangkok,,,34,7,131,11,9,320,63,2,577
2012-02-01,104003,กรุงเทพมหานคร,เขตบางแค,แขวงบางไผ่,Bangkok,,,230,25,889,16,90,1241,170,7,2668
2017-06-01,100802,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงวัดเทพศิรินทร์,Bangkok,,,5,3,51,6,1,164,27,0,257
2017-06-01,100103,กรุงเทพมหานคร,เขตพระนคร,แขวงวัดราชบพิธ,Bangkok,,,12,6,28,3,2,93,5,0,149
2011-12-01,103401,กรุงเทพมหานคร,เขตสวนหลวง,แขวงสวนหลวง,Bangkok,,,691,78,2572,64,107,4684,475,19,8690
2017-05-01,101501,กรุงเทพมหานคร,เขตธนบุรี,แขวงวัดกัลยาณ์,Bangkok,,,7,3,67,1,1,118,15,7,219
2017-06-01,101303,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงตลาดน้อย,Bangkok,,,23,10,32,8,1,94,12,3,183
2012-02-01,102107,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,Bangkok,,,355,55,1744,43,118,2368,390,12,5085
2017-06-01,102802,กรุงเทพมหานคร,เขตสาทร,แขวงยานนาวา,Bangkok,,,39,18,169,10,5,420,56,2,719
2017-05-01,101507,กรุงเทพมหานคร,เขตธนบุรี,แขวงสำเหร่,Bangkok,,,25,19,136,13,12,235,30,1,471
2017-05-01,101803,กรุงเทพมหานคร,เขตคลองสาน,แขวงบางลำภูล่าง,Bangkok,,,48,14,193,6,13,372,37,0,683
2017-06-01,101301,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงจักรวรรดิ์,Bangkok,,,10,5,51,4,2,85,15,2,174
2017-06-01,102801,กรุงเทพมหานคร,เขตสาทร,แขวงทุ่งวัดดอน,Bangkok,,,95,28,356,17,16,920,125,6,1563
2017-06-01,100803,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงคลองมหานาค,Bangkok,,,13,10,117,2,5,272,34,0,453
2017-06-01,100105,กรุงเทพมหานคร,เขตพระนคร,แขวงศาลเจ้าพ่อเสือ,Bangkok,,,11,11,61,11,2,156,14,2,268
2017-06-01,100804,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงบ้านบาตร,Bangkok,,,10,12,68,10,2,156,17,1,276
