distcode,predicted,actual
1001,565.19208329772,779.527648176594
1002,308.010289433383,442.758438033168
1003,308.125309098378,511.152661935489
1004,399.356306951692,315.606136726765
1005,221.82738950578,118.293637588071
1006,264.284440967359,233.673322188164
1007,471.734283269078,346.49851778731
1008,329.337787976432,355.258237617257
1010,259.589868395134,152.122825839319
1011,338.949905074771,341.307465982046
1012,322.210236484186,161.367362549772
1013,254.829353843032,176.111464475675
1014,287.242335348479,95.2816842806025
1015,244.035407586284,584.231397395445
1016,182.606070607492,167.365273257491
1017,247.393525477085,321.704455072423
1018,219.393625865542,273.888279648199
1019,336.137186746149,397.28153582115
1020,244.096103866116,449.235900467406
1021,350.983229026144,132.861383209711
1022,223.120550735417,490.129203137461
1023,246.671114325285,93.6609131070088
1024,264.464659219331,180.592296746769
1025,311.527728478319,445.9409129268
1026,186.548035690385,99.8660923156349
1027,115.74834112786,154.102938157538
1028,226.617036895712,170.964534477478
1029,191.399875909822,135.627341882554
1030,338.294075500961,519.905953165285
1031,229.124443987733,211.591537832362
1032,330.283607510558,242.632287254001
1033,399.059602720769,227.193395694881
1034,240.108088992491,108.920650566782
1035,255.59739616742,308.217948843795
1036,193.188369839038,135.489799924042
1037,482.185113047566,329.074503299303
1038,113.683939197926,192.46887465061
1039,346.056259513309,411.037807142464
1040,299.169515099926,302.025209998599
1041,283.780622657775,138.643168095581
1042,237.221517944579,114.056005703113
1043,176.792787106856,107.084265256735
1044,94.6598948619798,99.1766861089469
1045,181.686432442656,447.765110448066
1046,279.886055621949,267.797637385181
1047,282.127442290469,67.8091346728536
1048,272.727693326515,117.309197470142
1049,244.2182738006,111.335434390149
1050,250.924655272867,90.4457885304659
8001,390.663389813277,924.550166572978
8002,300.449893649458,342.129818286142
8003,330.464489386434,352.393827423667
8004,490.148966602204,526.545620307812
8005,245.002748522432,382.968258027181
8006,349.447919462891,434.28340937377
8007,329.542214412106,317.660029660246
8008,349.158255690012,388.81281244427
8009,364.122518217445,620.10674250044
8010,267.346524057776,302.387096750868
8011,328.280542303616,196.712484477889
8012,298.747662700261,491.553351300617
8013,369.982491919582,204.146257593588
8014,413.28863136301,310.498499338197
8015,148.375057634344,162.284256888364
8016,356.827234510958,448.159646551541
8017,272.882731843907,251.995311971623
8018,218.521242580052,80.9137238967001
8019,343.746242949282,336.938605886448
8020,242.129598573801,273.382552444086
8021,431.4470363409,154.538112321776
8022,401.500894736627,169.96928831606
8023,274.306330648033,189.657971916462
8101,369.361653555176,1289.16733733429
8102,326.875366654199,143.516737296573
8103,443.130653883031,201.031059270682
8104,279.161351857981,428.631069009936
8105,322.637479052427,409.564128196606
8106,265.687114477526,88.2299206245932
8107,141.693408687104,157.570291810732
8108,300.940399155275,161.387268316629
