distcode,predicted,actual
1001,539.057535626779,779.527648176594
1002,379.882778913204,442.758438033168
1003,312.593398352128,511.152661935489
1004,359.394575312483,315.606136726765
1005,202.13039673022,118.293637588071
1006,271.999667224282,233.673322188164
1007,240.364390161762,346.49851778731
1008,439.223269815143,355.258237617257
1010,234.038151491202,152.122825839319
1011,267.684791018868,341.307465982046
1012,276.394828706649,161.367362549772
1013,360.257638797801,176.111464475675
1014,244.000416709068,95.2816842806025
1015,348.924617862895,584.231397395445
1016,294.861634672034,167.365273257491
1017,138.78429875427,321.704455072423
1018,316.472053920928,273.888279648199
1019,295.73361321749,397.28153582115
1020,305.137295534421,449.235900467406
1021,297.924756609237,132.861383209711
1022,207.291426499733,490.129203137461
1023,171.680335987217,93.6609131070088
1024,220.90122003065,180.592296746769
1025,271.194796902811,445.9409129268
1026,224.226120743859,99.8660923156349
1027,178.355066118132,154.102938157538
1028,262.277889545589,170.964534477478
1029,284.418442804304,135.627341882554
1030,232.762566021636,519.905953165285
1031,276.571931592565,211.591537832362
1032,277.013420941696,242.632287254001
1033,344.483404787565,227.193395694881
1034,255.228973719833,108.920650566782
1035,266.860188459241,308.217948843795
1036,181.466722149352,135.489799924042
1037,347.335253571077,329.074503299303
1038,229.256696687136,192.46887465061
1039,259.538686834839,411.037807142464
1040,259.655299450333,302.025209998599
1041,223.837721112902,138.643168095581
1042,153.990711609231,114.056005703113
1043,217.047708570183,107.084265256735
1044,223.917350702936,99.1766861089469
1045,69.4384831446331,447.765110448066
1046,279.241419852826,267.797637385181
1047,254.450712036065,67.8091346728536
1048,244.303470257482,117.309197470142
1049,294.934352218945,111.335434390149
1050,201.745569408642,90.4457885304659
8001,322.530939639757,924.550166572978
8002,341.597033498587,342.129818286142
8003,341.586555919498,352.393827423667
8004,340.34456201345,526.545620307812
8005,341.274049595997,382.968258027181
8006,332.613630242302,434.28340937377
8007,336.514639883378,317.660029660246
8008,334.237840480422,388.81281244427
8009,335.498124640242,620.10674250044
8010,334.925382641529,302.387096750868
8011,337.758411372615,196.712484477889
8012,321.078621839897,491.553351300617
8013,338.985323118723,204.146257593588
8014,339.094004150254,310.498499338197
8015,335.886450027751,162.284256888364
8016,335.047400396334,448.159646551541
8017,334.068514792544,251.995311971623
8018,331.938772340739,80.9137238967001
8019,327.054808893606,336.938605886448
8020,314.643653063756,273.382552444086
8021,343.436048596567,154.538112321776
8022,343.035996601714,169.96928831606
8023,321.456470342438,189.657971916462
8101,340.256003071955,1289.16733733429
8102,338.825417241315,143.516737296573
8103,340.341135571704,201.031059270682
8104,337.606710579073,428.631069009936
8105,334.555850924378,409.564128196606
8106,337.015736254002,88.2299206245932
8107,333.653215010727,157.570291810732
8108,332.930559409891,161.387268316629
