addrcode,date,hi,ci,bi
810115,2013-06-01,5,0.93,2.5
810115,2013-06-01,2.5,0.93,2.5
810117,2013-06-01,2.5,0.51,2.5
810801,2013-06-01,5,1.44,7
710604,2013-06-01,43.33,9.63,103.33
710603,2013-06-01,66.67,14.83,130
501506,2013-06-01,40,11.05,66.67
730406,2013-06-01,0,0,0
730406,2013-06-01,0,0,0
730406,2013-06-01,0,0,0
730405,2013-06-01,50,10.34,90
730405,2013-06-01,0,0,0
730405,2013-06-01,0,0,0
800404,2013-06-01,28,8.66,68
800304,2013-06-01,3.33,0.47,3.33
800304,2013-06-01,6.67,0.45,3.33
770604,2013-06-01,0,0,0
760405,2013-06-01,10,1.25,10
760405,2013-06-01,0,0,0
760405,2013-06-01,10,2.74,20
760406,2013-06-01,20,2.44,30
760406,2013-06-01,10,1.52,10
760406,2013-06-01,0,0,0
490306,2013-06-01,0,0,0
490205,2013-06-01,0,0,0
490203,2013-06-01,0,0,0
510605,2013-06-01,26.67,4.23,30
750309,2013-06-01,30,6.25,50
750309,2013-06-01,20,4.62,30
750309,2013-06-01,0,0,0
750308,2013-06-01,30,2.44,20
750308,2013-06-01,80,29.51,180
750308,2013-06-01,20,9.23,60
720302,2013-06-01,16.67,5.05,36.67
720301,2013-06-01,43.33,12.59,120
840213,2013-06-01,43.33,24.04,83.33
840201,2013-06-01,36.67,14.53,56.67
370201,2013-06-01,0,0,0
370302,2013-06-01,0,0,0
370302,2013-06-01,0,0,0
370116,2013-06-01,0,0,0
370118,2013-06-01,0,0,0
370706,2013-06-01,0,0,0
370705,2013-06-01,0,0,0
810305,2013-05-01,5,1.47,5
810202,2013-05-01,20,5.61,40
810202,2013-05-01,13.33,1.6,10
810404,2013-05-01,7,2.01,7
810117,2013-05-01,15,3.83,26
710612,2013-05-01,18,3.79,32
710613,2013-05-01,36,10.56,60
710202,2013-05-01,34,5.75,44
220801,2013-05-01,0,0,0
220702,2013-05-01,6,1.15,8
240104,2013-05-01,12,2.66,14
240703,2013-05-01,52,13.25,95
200708,2013-05-01,22,12.03,38
860205,2013-05-01,0,0,0
860802,2013-05-01,0,0,0
860406,2013-05-01,0,0,0
500710,2013-05-01,28,7.78,55
730311,2013-05-01,0,0,0
730311,2013-05-01,0,0,0
730311,2013-05-01,0,0,0
730311,2013-05-01,0,0,0
730311,2013-05-01,0,0,0
730311,2013-05-01,40,7.14,50
730310,2013-05-01,33,8.07,49
730107,2013-05-01,9,2.16,14
730611,2013-05-01,15,2.88,18
480503,2013-05-01,0,0,0
480709,2013-05-01,0,0,0
480703,2013-05-01,0,0,0
801906,2013-05-01,0,0,0
480403,2013-05-01,0,0,0
480201,2013-05-01,0,0,0
480206,2013-05-01,0,0,0
480604,2013-05-01,0,0,0
800705,2013-05-01,16,2.9,37
800909,2013-05-01,22,4.96,34
801701,2013-05-01,7.5,3.04,17.5
801701,2013-05-01,7.5,3.66,22.5
801704,2013-05-01,10,4.65,30
801703,2013-05-01,5,3,20
801703,2013-05-01,10,5.02,32.5
802002,2013-05-01,8,2.65,16
800121,2013-05-01,18,6.09,54
800304,2013-05-01,10,1.79,13.33
800304,2013-05-01,6.67,0.96,6.67
770604,2013-05-01,0,0,0
770608,2013-05-01,23.33,8.51,53.33
250214,2013-05-01,12.61,3.48,20.17
250304,2013-05-01,13.11,3.97,19.67
801406,2013-05-01,40,3.23,20
801406,2013-05-01,2.5,0.4,2.5
801406,2013-05-01,5,0.53,5
760615,2013-05-01,20,4.11,30
760615,2013-05-01,0,1.79,20
760615,2013-05-01,10,0.76,10
490506,2013-05-01,0,0,0
801406,2013-05-01,15,7.36,30
490505,2013-05-01,0,0,0
490405,2013-05-01,0,0,0
490402,2013-05-01,0,0,0
490110,2013-05-01,0,0,0
490111,2013-05-01,0,0,0
490105,2013-05-01,0,0,0
490105,2013-05-01,0,0,0
210507,2013-05-01,17,0,0
700410,2013-05-01,0,0,0
700606,2013-05-01,16,3.32,25
700507,2013-05-01,0,0,0
700507,2013-05-01,0,0,0
700507,2013-05-01,10,1.59,10
700510,2013-05-01,6,2.18,14
700510,2013-05-01,0,0,0
700510,2013-05-01,0,0,0
700510,2013-05-01,10,0.83,10
700710,2013-05-01,1,0.15,1
700112,2013-05-01,2,0.26,2
510702,2013-05-01,6.67,1.55,6.67
760611,2013-05-01,0,0,0
760611,2013-05-01,20,10.71,60
750202,2013-05-01,10,0.81,10
750202,2013-05-01,0,0,0
750202,2013-05-01,20,5.41,20
750204,2013-05-01,0,0,0
750204,2013-05-01,0,0,0
750204,2013-05-01,0,0,0
740307,2013-05-01,8,1.42,10
270802,2013-05-01,3,0.4,3
270301,2013-05-01,10,1.09,10
270103,2013-05-01,14,3.45,20
270607,2013-05-01,10,2.69,17
720201,2013-05-01,23.33,4.71,30
720712,2013-05-01,10,2.57,22
720712,2013-05-01,8,1.5,12
760611,2013-05-01,0,0,0
840703,2013-05-01,26,9.38,35
841211,2013-05-01,6,2.05,8
370201,2013-05-01,0,0,0
370303,2013-05-01,0,0,0
370402,2013-05-01,0,0,0
370114,2013-05-01,0,0,0
810202,2013-04-01,23.33,7.69,40
810202,2013-04-01,16.67,2.82,23.33
810403,2013-04-01,8.57,2.59,8.57
,2013-04-01,0,0,0
,2013-04-01,18.18,0,0
810701,2013-04-01,0,0,0
710610,2013-04-01,13.33,3.69,26.67
800304,2013-04-01,6.67,1.4,10
800304,2013-04-01,6.67,2.45,16.67
770304,2013-04-01,20,4.55,43.33
760505,2013-04-01,50,13.33,60
760505,2013-04-01,60,13.21,70
760505,2013-04-01,40,16.67,60
750303,2013-04-01,30,4.05,30
750303,2013-04-01,0,0,0
750303,2013-04-01,30,4.55,30
750305,2013-04-01,30,3.19,30
750305,2013-04-01,50,8.45,60
750305,2013-04-01,30,4.21,40
720710,2013-04-01,3.33,0.59,3.33
840213,2013-04-01,23.33,6.15,26.67
840213,2013-04-01,23.33,6.15,26.67
840201,2013-04-01,26.67,8.4,36.67
840201,2013-04-01,26.67,8.4,36.67
810404,2013-03-01,24.56,7.97,38.6
810117,2013-03-01,24.56,7.53,43.86
800404,2013-03-01,31.25,5.89,57.81
800708,2013-03-01,10,1.97,22.5
800708,2013-03-01,5,1.34,12.5
800708,2013-03-01,7.5,1.66,17.5
800706,2013-03-01,10,3.7,25
800706,2013-03-01,10,4.18,32.5
800706,2013-03-01,10,3.64,27.5
800706,2013-03-01,7.5,2.71,20
800706,2013-03-01,7.5,2.23,15
800705,2013-03-01,50.63,16.43,164.56
800909,2013-03-01,28,5.79,34
800909,2013-03-01,0,0,0
800909,2013-03-01,61.54,9.01,76.92
801106,2013-03-01,71.43,21.65,150
802002,2013-03-01,53.06,17.74,202.04
802002,2013-03-01,40.54,13.67,110.81
800121,2013-03-01,42.11,9.67,84.21
800121,2013-03-01,51.72,8.46,75.86
800121,2013-03-01,26.32,3.65,39.47
801409,2013-03-01,25,3.72,35
801409,2013-03-01,20,2.79,25
810305,2013-02-01,7,2.4,7
810404,2013-02-01,9,2.79,9
810117,2013-02-01,14.71,2.53,17.65
710612,2013-02-01,30,6.87,58
710613,2013-02-01,32,11.75,70
710202,2013-02-01,46,4.6,58
220801,2013-02-01,24,4.83,31
220801,2013-02-01,24,4.83,31
220401,2013-02-01,24,4.84,28
220702,2013-02-01,24,4.52,35
220702,2013-02-01,27,4.52,35
240104,2013-02-01,17,5.34,21
240703,2013-02-01,40,9.86,68
200618,2013-02-01,42.86,9.62,92.21
200708,2013-02-01,27,11.08,39
860205,2013-02-01,49.06,17.76,115.09
860802,2013-02-01,34.31,9.05,53.92
860406,2013-02-01,27.45,42.86,85.29
730205,2013-02-01,31,8.12,62
730310,2013-02-01,42,9.28,64
730107,2013-02-01,25,5.44,40
730611,2013-02-01,24,4.51,35
800404,2013-02-01,18,2.79,18
800705,2013-02-01,14,2.2,27
800913,2013-02-01,32.5,13.47,82.5
800909,2013-02-01,22.5,6.47,37.5
800121,2013-02-01,27,8.45,75
120207,2013-02-01,31.9,11.88,57.76
120405,2013-02-01,27.5,7.38,33.33
120606,2013-02-01,47.15,17.33,85.37
130204,2013-02-01,53.33,22.84,103.33
130604,2013-02-01,28.7,14.9,45.22
250214,2013-02-01,27,6.34,39
250304,2013-02-01,20,7.35,40
940104,2013-02-01,7,2.67,8
940110,2013-02-01,22,6.27,21
140514,2013-02-01,28.1,6.89,38.84
140609,2013-02-01,15.45,5.47,28.46
140108,2013-02-01,33.33,11.37,65
141411,2013-02-01,17.21,9.32,50.82
110206,2013-02-01,0,0,0
210601,2013-02-01,14,0,0
210601,2013-02-01,0,0,0
700410,2013-02-01,4,1.11,9
700606,2013-02-01,26,7.47,62
700510,2013-02-01,12,3.26,18
700710,2013-02-01,13,2.42,15
421402,2013-02-01,0,0,0
471503,2013-02-01,17,5.14,22
470701,2013-02-01,10,3.41,14
471704,2013-02-01,9,2.96,12
470604,2013-02-01,5,2.41,9
901113,2013-02-01,10.89,3.15,12.87
901111,2013-02-01,10.81,2.97,14.86
901111,2013-02-01,18.75,3.51,18.75
901114,2013-02-01,15.63,9.09,53.13
901114,2013-02-01,12.99,1.89,10.39
110602,2013-02-01,25,6.72,32
740301,2013-02-01,10,2.02,13
270802,2013-02-01,6.8,1.11,6.8
270301,2013-02-01,4,0.43,4
270103,2013-02-01,38,10.48,65
270607,2013-02-01,26,5.3,36
720712,2013-02-01,8,1.04,10
720712,2013-02-01,10,1.64,14
110602,2013-02-01,25,8.28,42
840703,2013-02-01,26,8.66,40
390101,2013-02-01,0,0,0
390412,2013-02-01,0,0,0
370202,2013-02-01,0,0,0
370201,2013-02-01,0,0,0
370201,2013-02-01,24,0,0
370302,2013-02-01,0,0,0
370303,2013-02-01,0,0,0
370402,2013-02-01,0,0,0
370401,2013-02-01,0,0,0
370503,2013-02-01,0,0,0
370506,2013-02-01,0,0,0
800120,2013-01-01,45,7.89,60
361403,2012-12-01,0,0,0
361403,2012-12-01,0,0,0
361403,2012-12-01,0,0,0
800703,2012-12-01,10,2.14,22.5
800703,2012-12-01,7.5,1.67,17.5
800705,2012-12-01,12.5,2.94,32.5
800705,2012-12-01,10,2.17,27.5
800708,2012-11-01,5,1.46,15
800708,2012-11-01,10,2.7,27.5
800708,2012-11-01,15,3.53,35
800708,2012-11-01,7.5,1.84,22.5
630605,2012-10-01,0,0,0
800708,2012-10-01,7.5,2.13,22.5
800703,2012-10-01,7.5,2.87,32.5
800705,2012-10-01,10,2.28,27.5
940103,2012-10-01,5,0.81,6
940104,2012-10-01,0,0,0
940104,2012-10-01,6,1.03,6
810404,2012-09-01,10,3.7,10
810404,2012-09-01,12.5,3.42,10
810703,2012-09-01,0,0,0
810703,2012-09-01,0,0,0
800705,2012-09-01,2.5,0.35,2.5
801001,2012-09-01,22,8.71,68
800118,2012-09-01,14.81,1.8,7.41
950203,2012-09-01,3,0.9,4
950205,2012-09-01,2,0.22,1
950202,2012-09-01,5,1.17,5
950106,2012-09-01,12,6.27,24
950109,2012-09-01,5,1.46,5
810403,2012-08-01,10,3.81,10
810403,2012-08-01,12.5,3.45,10
810103,2012-08-01,5,1.65,7
710612,2012-08-01,42,6.47,70
710613,2012-08-01,62,15.27,120
710202,2012-08-01,22,5.36,36
860114,2012-08-01,21.7,4.49,28.3
500209,2012-08-01,11,2.33,13
500708,2012-08-01,17,4.6,22
500711,2012-08-01,24,7.35,38
730212,2012-08-01,0,0,0
730212,2012-08-01,0,0,0
730215,2012-08-01,0,0,0
730307,2012-08-01,23,7.13,29
730301,2012-08-01,0,0,0
730322,2012-08-01,0,0,0
730504,2012-08-01,0,0,0
730504,2012-08-01,59,2.26,9
730501,2012-08-01,0,0,0
730701,2012-08-01,0,0,0
730701,2012-08-01,26,13.03,49
730701,2012-08-01,0,0,0
730608,2012-08-01,0,0,0
730608,2012-08-01,0,0,0
730608,2012-08-01,1,0.39,1
800703,2012-08-01,2.5,0.23,2.5
800703,2012-08-01,5,1.52,17.5
800703,2012-08-01,5,1.28,12.5
800706,2012-08-01,7.5,2.16,15
800706,2012-08-01,10,2.23,15
800706,2012-08-01,75,2.15,150
800706,2012-08-01,5,0.7,5
800906,2012-08-01,16,2.76,33
802004,2012-08-01,11,5.83,28
802004,2012-08-01,12,6.35,32
802001,2012-08-01,8,1.78,10
802001,2012-08-01,5,0.94,6
800107,2012-08-01,11,2.03,27
210502,2012-08-01,28,7.5,41
700405,2012-08-01,0,0,0
700411,2012-08-01,0,0,0
700410,2012-08-01,2,0.44,4
700601,2012-08-01,12,4.95,32
700607,2012-08-01,0,0,0
700602,2012-08-01,8,0.96,8
510611,2012-08-01,23,7.78,41
510605,2012-08-01,4,0.85,5
740209,2012-08-01,0,0,0
740205,2012-08-01,3,0.99,8
740202,2012-08-01,0,0,0
740301,2012-08-01,0,0,0
740303,2012-08-01,0,0,0
740304,2012-08-01,10,1.81,13
720712,2012-08-01,22,1.95,22
720712,2012-08-01,18,2.13,18
361403,2012-07-01,0,0,0
361403,2012-07-01,0,0,0
361403,2012-07-01,3,0.4,2
800708,2012-07-01,10,2.49,25
800708,2012-07-01,5,1.65,17.5
800708,2012-07-01,7.5,1.77,20
800708,2012-07-01,7.5,2.34,25
800708,2012-07-01,10,2.17,27.5
800710,2012-07-01,5,2.02,15
800710,2012-07-01,10,2.63,22.5
800710,2012-07-01,7.5,2.59,20
800710,2012-07-01,10,4.1,32.5
800710,2012-07-01,7.5,2.29,17.5
801701,2012-07-01,10,2.73,20
801701,2012-07-01,7.5,1.68,12.5
801702,2012-07-01,5,1.7,12.5
801702,2012-07-01,7.5,2.8,20
801702,2012-07-01,10,3.42,25
801409,2012-07-01,30,5.97,52.5
930201,2012-07-01,9,3.02,13
930203,2012-07-01,1,0.22,1
930204,2012-07-01,9,2.45,11
930202,2012-07-01,6,2.73,11
930302,2012-07-01,9,1.45,7
930307,2012-07-01,5,1.38,7
930305,2012-07-01,4,1.11,4
930306,2012-07-01,8,1.9,9
930513,2012-07-01,0,0,0
930510,2012-07-01,0,0,0
930504,2012-07-01,0,1.17,0
930505,2012-07-01,9,2.06,9
901604,2012-07-01,9.8,2.85,15.69
901601,2012-07-01,11.21,3.55,19.63
901603,2012-07-01,10,1.82,10
901602,2012-07-01,8.91,3.35,16.83
120405,2012-06-01,17.07,0,0
120405,2012-06-01,17.07,2.72,17.07
120607,2012-06-01,75,27.52,205
120607,2012-06-01,0,0,0
210502,2012-06-01,38,11.79,68
900310,2012-06-01,20.75,6.31,37.74
900305,2012-06-01,18.18,6.16,31.82
810103,2012-05-01,9,1.52,9
710612,2012-05-01,28,4.86,50
710613,2012-05-01,52,14.97,106
710202,2012-05-01,13,3.02,21
361403,2012-05-01,0,0,0
361403,2012-05-01,0,0,0
361403,2012-05-01,9,1.19,10
860114,2012-05-01,44.33,9.32,85.57
500209,2012-05-01,13,2.41,15
500708,2012-05-01,34,9.89,52
500711,2012-05-01,17,4.07,23
260303,2012-05-01,13.24,2.72,20.59
801905,2012-05-01,12.5,3.83,27.5
801905,2012-05-01,10,2.79,20
800708,2012-05-01,7.5,1.59,15
800708,2012-05-01,0,0,0
800706,2012-05-01,15,3.86,27.5
800706,2012-05-01,7.5,2.02,15
800706,2012-05-01,10,2.88,22.5
800906,2012-05-01,12,3.54,23
802004,2012-05-01,6,1.1,8
802004,2012-05-01,7,1.51,11
802001,2012-05-01,3,0.59,4
802001,2012-05-01,5,1.05,9
800107,2012-05-01,11,3.63,38
130203,2012-05-01,37.74,12.63,66.98
700410,2012-05-01,1,0.12,1
700601,2012-05-01,0,0,0
700602,2012-05-01,2,1.46,8
510611,2012-05-01,24,7.17,36
510605,2012-05-01,14,4.99,25
740209,2012-05-01,0,0,0
740205,2012-05-01,7,2.75,11
740202,2012-05-01,0,0,0
740301,2012-05-01,11,0,0
740303,2012-05-01,0,0,0
740304,2012-05-01,7,2.4,10
270306,2012-05-01,31.68,5.52,46.53
720712,2012-05-01,52,10.58,102
720712,2012-05-01,12,2.21,20
430502,2012-05-01,0,0,0
430110,2012-05-01,0,0,0
411101,2012-05-01,0,0,0
411701,2012-05-01,0,0,0
411901,2012-05-01,0,0,0
410101,2012-05-01,23,7.54,26
410601,2012-05-01,0,0,0
810204,2012-04-01,7.5,1.21,7.5
360301,2012-04-01,30,6.44,37.5
360307,2012-04-01,42.5,10.78,62.5
360309,2012-04-01,27.5,6.53,40
360308,2012-04-01,37.5,7.28,47.5
361501,2012-04-01,7.5,10.19,55
360204,2012-04-01,12.5,2.32,17.5
360204,2012-04-01,17.5,3.61,25
360202,2012-04-01,17.5,3.2,20
360202,2012-04-01,17.5,3.09,20
360202,2012-04-01,20,3.83,22.5
360206,2012-04-01,12.5,2.45,15
360201,2012-04-01,15,4.18,25
360205,2012-04-01,5,0.8,5
360203,2012-04-01,22.5,4.55,27.5
360203,2012-04-01,12.5,3.31,20
361103,2012-04-01,15,2.55,17.5
361102,2012-04-01,7.5,1.46,10
361105,2012-04-01,22.5,3.7,27.5
360106,2012-04-01,10,1.69,10
360117,2012-04-01,15,3.77,22.5
360104,2012-04-01,22.5,5.32,35
360109,2012-04-01,10,5.65,32.5
360118,2012-04-01,32.5,8.7,50
360110,2012-04-01,30,7.46,37.5
360114,2012-04-01,10,2.44,15
360114,2012-04-01,20,3.98,22.5
360115,2012-04-01,22.5,4.48,25
360502,2012-04-01,2.5,0.32,2.5
801701,2012-04-01,5,2.07,15
801702,2012-04-01,7.5,0,0
801702,2012-04-01,7.5,2.55,17.5
801702,2012-04-01,10,2.69,20
801702,2012-04-01,10,3.19,25
801409,2012-04-01,42.5,5.8,62.5
360303,2012-03-01,40,9.86,52.5
360304,2012-03-01,27.5,5.71,35
360306,2012-03-01,27.5,4.18,27.5
360302,2012-03-01,27.5,5.69,30
360305,2012-03-01,27.5,5.76,27.5
361503,2012-03-01,15,3.62,20
361503,2012-03-01,17.5,4.55,25
361503,2012-03-01,10,3.06,17.5
361502,2012-03-01,12.5,3.56,20
361502,2012-03-01,40,8.92,47.5
361504,2012-03-01,30,7.56,45
361104,2012-03-01,22.5,3.25,25
361104,2012-03-01,2.5,0.29,2.5
361101,2012-03-01,12.5,2.17,15
361102,2012-03-01,17.5,2.31,20
361011,2012-03-01,10,1.88,15
361006,2012-03-01,17.5,4.59,25
361009,2012-03-01,12.5,2.22,12.5
360106,2012-03-01,7.5,1.34,7.5
360107,2012-03-01,30,8.82,52.5
360107,2012-03-01,17.5,4.24,25
360119,2012-03-01,20,4.31,27.5
360113,2012-03-01,17.5,4,27.5
360116,2012-03-01,22.5,3.95,25
360105,2012-03-01,15,3.31,22.5
360108,2012-03-01,15,3.13,17.5
360103,2012-03-01,12.5,1.99,10
360102,2012-03-01,2.5,0.42,2.5
360111,2012-03-01,55,13.17,67.5
360112,2012-03-01,20,3.51,20
360508,2012-03-01,5,3.54,27.5
860114,2012-03-01,35.19,7.59,61.11
570501,2012-03-01,4,0.68,4
570101,2012-03-01,0,0,0
500206,2012-03-01,30,5.84,38
500209,2012-03-01,25,5.18,27
260303,2012-03-01,34,6.45,59
300202,2012-03-01,13,2.94,18
300208,2012-03-01,3,0.63,4
301005,2012-03-01,28,4.51,44
301009,2012-03-01,33,4.98,50
301008,2012-03-01,18,3.06,27
301007,2012-03-01,23,3.38,33
301214,2012-03-01,13,2.35,20
301215,2012-03-01,8,1.13,8
301203,2012-03-01,12,1.97,14
302102,2012-03-01,11,2.89,16
302103,2012-03-01,6,1.2,10
302106,2012-03-01,38,9.81,53
301504,2012-03-01,6,1,7
301501,2012-03-01,10,1.7,12
301506,2012-03-01,34,0.94,6
300119,2012-03-01,42,13.95,59
801502,2012-03-01,37.5,6.56,72.5
800710,2012-03-01,10,3.25,25
800709,2012-03-01,10,2.8,22.5
800709,2012-03-01,5,1.53,12.5
800709,2012-03-01,12.5,3.91,30
800703,2012-03-01,7.5,2.36,17.5
800705,2012-03-01,7.5,1.26,12.5
801701,2012-03-01,7.5,1.75,12.5
801704,2012-03-01,5,1.05,7.5
801704,2012-03-01,5,1.52,10
801702,2012-03-01,7.5,2.39,17.5
801702,2012-03-01,2.5,0.35,2.5
801401,2012-03-01,37.5,6.56,72.5
120204,2012-03-01,24,22.64,96
120204,2012-03-01,26.09,9.79,50
120204,2012-03-01,34.15,18.27,87.8
120405,2012-03-01,11.9,1.79,11.9
120405,2012-03-01,6.82,2.48,9.09
120405,2012-03-01,10,5.78,25
310127,2012-03-01,29,7.65,46
310611,2012-03-01,12,2.47,17
130203,2012-03-01,80,25.45,142.5
130203,2012-03-01,27.5,6.88,37.5
130203,2012-03-01,75,21.15,137.5
930903,2012-03-01,2,0.79,4
930902,2012-03-01,19,2.84,35
540104,2012-03-01,5.71,11.25,41.9
540112,2012-03-01,27.52,5.73,27.52
580201,2012-03-01,0,0.23,2
580201,2012-03-01,0,0,0
580201,2012-03-01,0,0,0
580304,2012-03-01,0,0,0
580304,2012-03-01,0,0,0
110110,2012-03-01,7.5,6.82,7.5
510611,2012-03-01,24,11.36,41
510605,2012-03-01,13,4.7,17
510108,2012-03-01,6,1.18,6
510117,2012-03-01,14,7.75,22
471802,2012-03-01,30.69,8.77,44.55
470117,2012-03-01,26,6.77,31
470814,2012-03-01,29,7.52,34
471213,2012-03-01,16,9.75,31
270306,2012-03-01,0,0,0
810103,2012-02-01,12,2.48,15
710612,2012-02-01,38,7.37,64
710613,2012-02-01,40,8.06,54
710202,2012-02-01,17,3.14,21
361403,2012-02-01,0,0,0
361403,2012-02-01,0,0,0
361403,2012-02-01,15,2.86,19
500708,2012-02-01,10,3,12
500711,2012-02-01,17,5.08,25
730212,2012-02-01,0,0,0
730212,2012-02-01,0,0,0
730212,2012-02-01,0,0,0
730307,2012-02-01,0,0,0
730301,2012-02-01,0,0,0
730301,2012-02-01,0,0,0
730504,2012-02-01,3,0.37,3
730504,2012-02-01,0,0,0
730501,2012-02-01,0,0,0
730701,2012-02-01,0,0,0
730701,2012-02-01,3,0.92,4
730701,2012-02-01,0,0,0
730601,2012-02-01,0,0,0
730608,2012-02-01,6,2.88,10
801503,2012-02-01,75,40,195
800708,2012-02-01,7.5,1.54,12.5
800705,2012-02-01,10,2.95,22.5
800705,2012-02-01,5,1.81,15
800906,2012-02-01,18,4.59,30
801701,2012-02-01,5,10.7,72.5
801701,2012-02-01,7.5,2.88,22.5
801701,2012-02-01,2.5,0.92,7.5
801702,2012-02-01,5,1.62,12.5
801702,2012-02-01,7.5,2.13,17.5
802004,2012-02-01,8,1.16,8
802004,2012-02-01,9,1.58,11
802001,2012-02-01,4,0.68,4
802001,2012-02-01,6,1.54,13
800107,2012-02-01,18,3.65,53
140516,2012-02-01,23.33,6.99,66.67
140615,2012-02-01,10,2.61,15
140615,2012-02-01,20,6.18,27.5
140615,2012-02-01,25,5.26,40
140101,2012-02-01,0,0,0
141205,2012-02-01,12.5,3.7,15
141205,2012-02-01,0,0,0
141205,2012-02-01,32.5,8.97,50
141401,2012-02-01,35,15.03,57.5
141401,2012-02-01,25,8.61,32.5
141401,2012-02-01,42.5,13.28,80
210502,2012-02-01,23,7.73,43
700405,2012-02-01,0,0,0
700411,2012-02-01,0,0,0
700601,2012-02-01,0,0,0
700607,2012-02-01,0,0,0
700602,2012-02-01,6,0.76,6
740209,2012-02-01,0,0,0
740205,2012-02-01,4,0.86,6
740202,2012-02-01,0,0,0
740301,2012-02-01,0,0,0
740303,2012-02-01,0,0,0
740304,2012-02-01,27,6.59,38
720712,2012-02-01,4,0.64,6
720712,2012-02-01,6,1.41,14
430502,2012-02-01,0,0,0
430110,2012-02-01,0,0,0
410415,2012-02-01,0,0,0
411101,2012-02-01,0,0,0
411701,2012-02-01,0,0,0
411901,2012-02-01,0,0,0
410101,2012-02-01,0,0,0
410601,2012-02-01,0,0,0
810201,2012-01-01,56.82,10.97,79.55
810201,2012-01-01,56.1,8.95,68.29
810601,2012-01-01,10,1.58,12.5
810601,2012-01-01,0,0,0
810103,2012-01-01,10,2.99,12.5
810103,2012-01-01,15,8.63,30
810504,2012-01-01,10,2.4,12.5
810504,2012-01-01,10,1.2,7.5
630609,2012-01-01,0,0,0
630606,2012-01-01,12.5,2.85,20
630610,2012-01-01,20,1.49,12.5
630608,2012-01-01,10,0.54,5
801904,2012-01-01,17.5,1.52,17.5
801904,2012-01-01,7.5,0.99,5
800404,2012-01-01,30,7.51,65
800404,2012-01-01,35,7.49,57.5
800708,2012-01-01,2.5,0.3,2.5
800710,2012-01-01,12.5,3.87,32.5
800710,2012-01-01,7.5,2.86,22.5
800710,2012-01-01,17.5,4.37,50
800710,2012-01-01,10,3.48,30
800709,2012-01-01,12.5,3.14,27.5
800709,2012-01-01,15,4.17,40
800705,2012-01-01,2.5,0.23,2.5
800705,2012-01-01,15,3.56,35
800705,2012-01-01,7.5,1.66,20
802201,2012-01-01,10,2.76,10
802201,2012-01-01,2.5,0.98,5
800613,2012-01-01,2.5,1.38,7.5
800613,2012-01-01,10,1.91,17.5
801803,2012-01-01,92.5,24.24,140
801803,2012-01-01,67.5,10.12,105
800906,2012-01-01,57.5,13.94,242.5
800901,2012-01-01,15,5.61,15
801105,2012-01-01,15,19.19,47.5
801105,2012-01-01,57.5,13.87,107.5
801002,2012-01-01,47.5,16.48,185
801002,2012-01-01,17.5,6.5,20
801701,2012-01-01,17.5,2.08,17.5
801701,2012-01-01,22.5,2.07,20
800501,2012-01-01,32.5,7.95,65
800501,2012-01-01,35,8.73,77.5
801409,2012-01-01,75,16.11,145
801409,2012-01-01,65,31.25,150
310202,2012-01-01,12,4.22,16
310204,2012-01-01,9,2.38,10
312001,2012-01-01,13,2.11,15
311504,2012-01-01,39,5.53,56
310907,2012-01-01,11,2.5,12
310910,2012-01-01,12,2.33,12
310601,2012-01-01,20,3.25,24
810304,2011-12-01,10,1.99,10
810304,2011-12-01,2.5,0.66,2.5
810401,2011-12-01,5,1.32,5
810401,2011-12-01,5,1.54,5
810701,2011-12-01,10,16.67,7.5
810801,2011-12-01,7.5,3.45,17.5
810801,2011-12-01,7.5,3.23,12.5
801502,2011-12-01,15,5.56,25
801502,2011-12-01,27.5,5.83,30
802303,2011-12-01,7.5,1.38,5
802303,2011-12-01,80,14.97,147.5
800701,2011-12-01,2.5,1.78,10
800801,2011-12-01,15,0,0
800801,2011-12-01,52.5,16.41,105
801210,2011-12-01,30,3.24,32.5
801210,2011-12-01,0,0,0
800201,2011-12-01,0,0,0
800201,2011-12-01,17.5,4.64,22.5
802004,2011-12-01,0,0,0
802004,2011-12-01,7.5,3.25,12.5
800107,2011-12-01,0,0,0
801301,2011-12-01,5,0.82,5
801301,2011-12-01,15,1.61,15
800304,2011-12-01,25,3.65,37.5
800304,2011-12-01,2.5,1.27,5
801409,2011-12-01,47.5,14.67,55
801409,2011-12-01,52.5,3.98,22.5
801601,2011-12-01,0,0,0
801601,2011-12-01,17.5,2.83,32.5
801601,2011-12-01,10,0.26,2.5
801601,2011-12-01,0,0,0
800708,2011-11-01,10,2.83,20
800708,2011-11-01,12.5,3.81,22.5
800703,2011-11-01,15,4.36,30
800705,2011-11-01,15,4.69,25
810702,2011-10-01,2.5,0.39,2.5
810703,2011-10-01,5,0.83,5
810703,2011-10-01,10,1.62,10
810703,2011-10-01,5,0.82,5
810701,2011-10-01,2.5,0.38,2.5
800710,2011-10-01,15,0.57,2.5
800703,2011-10-01,12.5,4.07,30
800911,2011-10-01,32.5,12.04,97.5
800911,2011-10-01,37.5,11.31,112.5
810401,2011-09-01,7.5,1.81,7.5
810401,2011-09-01,10,2.38,10
810401,2011-09-01,7.5,1.76,7.5
810403,2011-09-01,10,2.37,10
810403,2011-09-01,10,2.5,10
810403,2011-09-01,7.5,1.78,7.5
810405,2011-09-01,7.5,1.81,7.5
810405,2011-09-01,10,2.41,10
810703,2011-09-01,0,0,0
