"","Subdistrict_Code","Year","Week","NumberCases"
"245","103002",2014,43,2
"246","102701",2014,43,5
"247","102303",2014,43,3
"248","104901",2014,43,2
"249","103004",2014,43,1
"250","103503",2014,43,2
"251","102402",2014,43,2
"252","100111",2014,43,1
"253","100109",2014,43,1
"254","100905",2014,43,5
"255","101204",2014,43,1
"256","103001",2014,43,1
"257","104004",2014,43,2
"258","103901",2014,43,1
"259","103203",2014,43,2
"260","103703",2014,43,1
"261","101904",2014,43,1
"262","102210",2014,43,1
"263","101501",2014,43,1
"264","103103",2014,43,1
"265","102901",2014,43,3
"266","103201",2014,43,1
"267","100201",2014,43,1
"268","103602",2014,43,1
"269","104301",2014,43,3
"270","103202",2014,43,1
"271","104401",2014,43,1
"272","101101",2014,43,2
"273","100703",2014,43,1
"274","103704",2014,43,1
"275","104002",2014,43,1
"276","101905",2014,43,1
"277","104201",2014,43,1
"278","104504",2014,43,2
"279","102504",2014,43,2
"280","101505",2014,43,1
"281","100502",2014,43,1
"282","103903",2014,43,1
"283","100305",2014,43,1
"284","100404",2014,43,1
"285","103502",2014,43,1
"286","104802",2014,43,1
"287","102401",2014,43,1
"288","100508",2014,43,1
"289","101902",2014,43,1
"290","101702",2014,44,1
"291","103101",2014,44,2
"292","103602",2014,44,4
"293","101803",2014,44,2
"294","101802",2014,44,3
"295","102201",2014,44,1
"296","102801",2014,44,2
"297","103802",2014,44,1
"298","102701",2014,44,7
"299","101106",2014,44,1
"300","109999",2014,44,1
"301","103401",2014,44,3
"302","102303",2014,44,2
"303","103301",2014,44,1
"304","100508",2014,44,1
"305","101101",2014,44,1
"306","101103",2014,44,1
"307","101902",2014,44,1
"308","100201",2014,44,1
"309","101804",2014,44,2
"310","100703",2014,44,1
"311","103604",2014,44,3
"312","102302",2014,44,2
"313","102107",2014,44,6
"314","104701",2014,44,4
"315","103801",2014,44,3
"316","103103",2014,44,1
"317","103302",2014,44,1
"318","100601",2014,44,3
"319","103902",2014,44,2
"320","104605",2014,44,1
"321","104102",2014,44,2
"322","101801",2014,44,1
"323","101503",2014,44,2
"324","103202",2014,44,1
"325","101704",2014,44,2
"326","103003",2014,44,1
"327","103903",2014,44,2
"328","104101",2014,44,1
"329","104501",2014,44,3
"330","100305",2014,44,1
"331","102401",2014,44,1
"332","104002",2014,44,1
"333","103501",2014,44,1
"334","101001",2014,44,2
"335","102402",2014,44,1
"336","100302",2014,44,2
"337","103203",2014,44,1
"338","102209",2014,44,1
"339","104301",2014,44,2
"340","104901",2014,44,1
"341","104902",2014,44,2
"342","101203",2014,44,2
"343","103102",2014,44,1
"344","103504",2014,44,1
"345","103704",2014,44,1
"346","104004",2014,44,1
"347","101701",2014,44,2
"348","104203",2014,44,1
"349","104003",2014,44,1
"350","104504",2014,44,3
"351","101204",2014,44,1
"352","101601",2014,45,1
"353","100301",2014,45,1
"354","101101",2014,45,3
"355","102701",2014,45,3
"356","100306",2014,45,1
"357","101804",2014,45,3
"358","100303",2014,45,1
"359","104601",2014,45,3
"360","103504",2014,45,3
"361","104001",2014,45,3
"362","104504",2014,45,1
"363","103002",2014,45,2
"364","103502",2014,45,1
"365","102006",2014,45,2
"366","102402",2014,45,5
"367","105001",2014,45,5
"368","100201",2014,45,2
"369","103704",2014,45,2
"370","101506",2014,45,1
"371","100608",2014,45,6
"372","101803",2014,45,2
"373","104201",2014,45,2
"374","104004",2014,45,3
"375","103401",2014,45,1
"376","103903",2014,45,2
"377","104401",2014,45,4
"378","101504",2014,45,1
"379","101701",2014,45,3
"380","103202",2014,45,3
"381","104701",2014,45,2
"382","104203",2014,45,6
"383","101505",2014,45,1
"384","103005",2014,45,2
"385","104902",2014,45,2
"386","104802",2014,45,3
"387","100805",2014,45,1
"388","103301",2014,45,1
"389","104502",2014,45,1
"390","104503",2014,45,1
"391","102503",2014,45,2
"392","100905",2014,45,3
"393","102601",2014,45,8
"394","103501",2014,45,2
"395","104301",2014,45,3
"396","103701",2014,45,1
"397","104602",2014,45,1
"398","103902",2014,45,3
"399","102401",2014,45,3
"400","101401",2014,45,4
"401","100206",2014,45,2
"402","103203",2014,45,1
"403","103605",2014,45,2
"404","103801",2014,45,2
"405","100109",2014,45,1
"406","103503",2014,45,2
"407","102901",2014,45,2
"408","103302",2014,45,1
"409","102801",2014,45,1
"410","103602",2014,45,1
"411","103103",2014,45,3
"412","104101",2014,45,1
"413","103101",2014,45,1
"414","100402",2014,45,1
