"","Subdistrict_Code","Year","NumberCases"
"289","800119",2014,4
"290","810406",2014,21
"291","800607",2014,18
"292","800806",2014,47
"293","800405",2014,11
"294","801215",2014,5
"295","810407",2014,18
"296","800403",2014,18
"297","800902",2014,12
"298","800113",2014,11
"299","802004",2014,31
"300","801218",2014,3
"301","801306",2014,11
"302","800908",2014,10
"303","801906",2014,12
"304","800102",2014,15
"305","810506",2014,21
"306","800409",2014,13
"307","801217",2014,3
"308","801209",2014,3
"309","801903",2014,4
"310","801101",2014,12
"311","810601",2014,8
"312","801305",2014,15
"313","801602",2014,22
"314","800116",2014,30
"315","810509",2014,6
"316","810201",2014,2
"317","810807",2014,5
"318","800701",2014,15
"319","810204",2014,6
"320","802302",2014,17
"321","800708",2014,2
"322","810806",2014,1
"323","810805",2014,3
"324","801303",2014,20
"325","800410",2014,14
"326","801104",2014,3
"327","801704",2014,3
"328","810205",2014,1
"329","801216",2014,3
"330","802001",2014,13
"331","800407",2014,8
"332","800906",2014,8
"333","800502",2014,22
"334","800301",2014,16
"335","800912",2014,4
"336","810505",2014,12
"337","801204",2014,2
"338","800406",2014,4
"339","801103",2014,9
"340","810804",2014,4
"341","810408",2014,2
"342","801701",2014,3
"343","800710",2014,4
"344","801603",2014,13
"345","801601",2014,16
"346","810202",2014,5
"347","800913",2014,14
"348","810206",2014,2
"349","800606",2014,10
"350","800707",2014,10
"351","801608",2014,1
"352","802202",2014,9
"353","801801",2014,4
"354","802304",2014,12
"355","810104",2014,1
"356","800809",2014,47
"357","810802",2014,1
"358","800304",2014,10
"359","800811",2014,37
"360","800804",2014,20
"361","800810",2014,12
"362","800302",2014,10
"363","800803",2014,42
"364","800705",2014,6
"365","801102",2014,4
"366","801304",2014,4
"367","800813",2014,8
"368","800702",2014,6
"369","800604",2014,1
"370","801604",2014,5
"371","800907",2014,2
"372","801803",2014,3
"373","801611",2014,6
"374","801904",2014,6
"375","800605",2014,4
"376","800704",2014,10
"377","800703",2014,3
"378","810706",2014,1
"379","800603",2014,3
"380","800610",2014,5
"381","800711",2014,1
"382","810503",2014,1
"383","100206",2015,249
"384","104001",2015,355
"385","102201",2015,126
"386","102401",2015,229
"387","103501",2015,175
"388","103201",2015,567
"389","101801",2015,67
"390","102701",2015,392
"391","103701",2015,152
"392","101901",2015,40
"393","100601",2015,456
"394","102901",2015,475
"395","105001",2015,664
"396","104902",2015,208
"397","102302",2015,194
"398","103202",2015,273
"399","101501",2015,43
"400","102501",2015,239
"401","102301",2015,2
"402","103401",2015,872
"403","101401",2015,419
"404","102101",2015,2
"405","104601",2015,122
"406","101701",2015,232
"407","100101",2015,20
"408","104701",2015,402
"409","104901",2015,229
"410","104802",2015,120
"411","104801",2015,94
"412","104605",2015,45
"413","104604",2015,35
"414","104603",2015,189
"415","104602",2015,69
"416","104504",2015,181
"417","104503",2015,143
"418","104502",2015,45
"419","104501",2015,407
"420","104401",2015,619
"421","104302",2015,41
"422","104301",2015,156
"423","104203",2015,274
"424","104202",2015,72
"425","104201",2015,215
"426","104102",2015,131
"427","104101",2015,370
"428","104004",2015,176
"429","104003",2015,115
"430","104002",2015,189
"431","103903",2015,258
"432","103902",2015,285
"433","103901",2015,72
"434","103802",2015,138
"435","103801",2015,713
"436","103704",2015,79
"437","103703",2015,65
"438","103702",2015,56
"439","103605",2015,29
"440","103604",2015,191
"441","103602",2015,354
"442","103504",2015,213
"443","103503",2015,220
"444","103502",2015,116
"445","103303",2015,66
"446","103302",2015,58
"447","103301",2015,322
"448","103203",2015,210
"449","103103",2015,184
"450","103102",2015,89
"451","103101",2015,162
"452","103005",2015,183
"453","103004",2015,154
"454","103003",2015,233
"455","103002",2015,60
"456","103001",2015,439
"457","102902",2015,74
"458","102803",2015,88
"459","102802",2015,78
"460","102801",2015,84
"461","102705",2015,45
"462","102704",2015,32
"463","102601",2015,603
"464","102504",2015,175
"465","102503",2015,119
"466","102502",2015,172
"467","102402",2015,267
"468","102303",2015,168
"469","102210",2015,28
"470","102209",2015,70
"471","102208",2015,46
"472","102207",2015,98
"473","102206",2015,31
"474","102202",2015,95
"475","102107",2015,485
"476","102105",2015,241
"477","102009",2015,130
"478","102007",2015,148
"479","102006",2015,75
"480","102005",2015,161
"481","102004",2015,57
"482","101907",2015,20
"483","101905",2015,65
"484","101904",2015,50
"485","101903",2015,76
"486","101902",2015,123
"487","101804",2015,65
"488","101803",2015,110
"489","101802",2015,86
"490","101704",2015,241
"491","101702",2015,87
"492","101602",2015,259
"493","101601",2015,66
"494","101507",2015,50
"495","101506",2015,68
"496","101505",2015,61
"497","101504",2015,287
"498","101503",2015,116
"499","101502",2015,35
"500","101303",2015,23
"501","101302",2015,34
"502","101301",2015,27
"503","101204",2015,171
"504","101203",2015,183
"505","101106",2015,23
"506","101105",2015,73
"507","101104",2015,100
"508","101103",2015,51
"509","101102",2015,240
"510","101101",2015,145
"511","101002",2015,179
"512","101001",2015,395
"513","100905",2015,513
"514","100805",2015,27
"515","100804",2015,35
"516","100803",2015,39
"517","100802",2015,27
"518","100801",2015,79
"519","100704",2015,76
"520","100703",2015,70
"521","100702",2015,39
"522","100701",2015,70
"523","100608",2015,534
"524","100508",2015,237
"525","100502",2015,464
"526","100405",2015,22
"527","100404",2015,21
"528","100403",2015,8
"529","100402",2015,22
"530","100401",2015,31
"531","100308",2015,45
"532","100307",2015,89
"533","100306",2015,58
"534","100305",2015,110
"535","100304",2015,27
"536","100303",2015,20
"537","100302",2015,112
"538","100301",2015,143
"539","100204",2015,17
"540","100203",2015,62
"541","100202",2015,53
"542","100201",2015,101
"543","100112",2015,10
"544","100111",2015,14
"545","100110",2015,24
"546","100109",2015,8
"547","100108",2015,7
"548","100107",2015,25
"549","100106",2015,9
"550","100105",2015,10
"551","100104",2015,16
"552","100103",2015,12
"553","100102",2015,30
"554","100501",2015,2
"555","102001",2015,1
"556","101201",2015,1
"557","100214",2015,1
"558","100212",2015,1
"559","810116",2015,176
"560","810405",2015,52
"561","810101",2015,110
"562","810117",2015,51
"563","810115",2015,110
"564","810802",2015,1
"565","810301",2015,13
"566","810111",2015,98
"567","810105",2015,85
"568","801101",2015,36
"569","810403",2015,87
"570","810602",2015,5
"571","810103",2015,87
"572","802001",2015,19
"573","810508",2015,7
"574","810801",2015,25
"575","801408",2015,19
"576","801904",2015,29
"577","800503",2015,14
"578","800912",2015,17
"579","801401",2015,40
"580","801405",2015,22
"581","800709",2015,14
"582","801406",2015,26
"583","800610",2015,6
"584","801001",2015,38
"585","800118",2015,28
"586","810102",2015,46
"587","801104",2015,30
"588","810118",2015,49
"589","801403",2015,14
"590","810808",2015,5
"591","800908",2015,14
"592","800801",2015,19
"593","800108",2015,5
"594","800913",2015,19
"595","800304",2015,11
"596","800903",2015,14
"597","810504",2015,34
"598","801702",2015,63
"599","810204",2015,28
"600","800116",2015,11
"601","800120",2015,58
"602","810106",2015,82
"603","810703",2015,19
"604","810404",2015,31
"605","800701",2015,10
"606","801611",2015,35
"607","801404",2015,27
"608","801409",2015,11
"609","800901",2015,25
"610","802003",2015,8
"611","801203",2015,2
"612","800101",2015,62
"613","802203",2015,12
"614","801402",2015,17
"615","810505",2015,47
"616","800404",2015,10
"617","810807",2015,8
"618","810603",2015,27
"619","801211",2015,4
"620","801902",2015,5
"621","810509",2015,20
"622","800122",2015,30
"623","801303",2015,12
"624","810704",2015,7
"625","801217",2015,1
"626","810506",2015,17
"627","810303",2015,37
"628","800607",2015,11
"629","800811",2015,13
"630","800114",2015,9
"631","801503",2015,20
"632","801501",2015,25
"633","810702",2015,15
"634","801703",2015,20
"635","800902",2015,25
"636","800103",2015,14
"637","810803",2015,17
"638","801905",2015,20
