addrcode,date,cases
100201,2017-12-01,2
100201,2017-07-01,3
100201,2017-05-01,1
100201,2017-09-01,5
100201,2017-01-01,1
100201,2017-11-01,6
100201,2017-06-01,2
100201,2017-08-01,3
100201,2017-04-01,1
100201,2018-01-01,1
100201,2018-04-01,1
100202,2014-10-01,1
100202,2014-09-01,1
100202,2015-10-01,5
100202,2015-12-01,14
100202,2015-11-01,23
100202,2015-08-01,3
100202,2015-06-01,4
100202,2015-09-01,2
100202,2015-07-01,1
100202,2015-03-01,1
100202,2016-01-01,6
100202,2016-08-01,2
100202,2016-09-01,1
100202,2016-11-01,1
100202,2016-02-01,3
100202,2016-03-01,1
100202,2017-01-01,1
100202,2017-07-01,2
100202,2017-08-01,3
100202,2017-10-01,2
100202,2017-12-01,1
100202,2017-11-01,1
100202,2017-09-01,1
100202,2018-01-01,2
100202,2018-03-01,3
100203,2014-10-01,1
100203,2014-01-01,4
100203,2014-02-01,2
100203,2014-04-01,1
100203,2014-05-01,5
100203,2014-06-01,3
100203,2014-08-01,1
100203,2014-09-01,1
100203,2015-10-01,16
100203,2015-11-01,9
100203,2015-09-01,10
100203,2015-12-01,5
100203,2015-08-01,9
100203,2015-07-01,10
100203,2015-01-01,1
100203,2015-05-01,1
100203,2015-06-01,1
100203,2016-04-01,2
100203,2016-10-01,2
100203,2016-05-01,1
100203,2016-01-01,11
100203,2016-09-01,2
100203,2016-02-01,2
100203,2016-08-01,1
100203,2017-07-01,2
100203,2017-10-01,1
100203,2017-11-01,2
100203,2017-09-01,1
100204,2014-10-01,1
100204,2014-11-01,6
100204,2014-12-01,1
100204,2014-01-01,2
100204,2014-02-01,2
100204,2014-03-01,1
100204,2014-08-01,3
100204,2015-12-01,2
100204,2015-07-01,1
100204,2015-10-01,3
100204,2015-01-01,2
100204,2015-05-01,1
100204,2015-11-01,7
100204,2015-09-01,1
100204,2016-03-01,2
100204,2016-10-01,3
100204,2016-01-01,3
100204,2016-11-01,1
100204,2016-12-01,1
100204,2017-08-01,10
100204,2017-10-01,4
100204,2017-07-01,14
100204,2017-12-01,1
100204,2017-06-01,7
100204,2017-09-01,4
100204,2017-11-01,2
100204,2017-05-01,1
100204,2018-03-01,2
100204,2018-02-01,2
100206,2014-10-01,3
100206,2014-11-01,4
100206,2014-12-01,2
100206,2014-01-01,2
100206,2014-02-01,8
100206,2014-03-01,1
100206,2014-04-01,1
100206,2014-05-01,2
100206,2014-06-01,1
100206,2014-07-01,1
100206,2014-08-01,1
100206,2014-09-01,4
100206,2015-11-01,84
100206,2015-08-01,14
100206,2015-10-01,48
100206,2015-09-01,32
100206,2015-12-01,24
100206,2015-03-01,6
100206,2015-05-01,15
100206,2015-06-01,13
100206,2015-07-01,6
100206,2015-04-01,3
100206,2015-01-01,4
100206,2016-01-01,20
100206,2016-08-01,6
100206,2016-11-01,8
100206,2016-10-01,4
100206,2016-12-01,6
100206,2016-07-01,4
100206,2016-03-01,2
100206,2016-02-01,2
100206,2016-09-01,2
100206,2016-04-01,1
100206,2017-01-01,7
100206,2017-08-01,31
100206,2017-06-01,9
100206,2017-11-01,17
100206,2017-07-01,25
100206,2017-12-01,4
100206,2017-05-01,9
100206,2017-02-01,1
100206,2017-09-01,25
100206,2017-10-01,27
100206,2018-04-01,3
100206,2018-01-01,2
100206,2018-05-01,1
100206,2018-03-01,5
100206,2018-02-01,2
100301,2014-10-01,5
100301,2014-11-01,3
100301,2014-12-01,5
100301,2014-01-01,3
100301,2014-02-01,1
100301,2014-03-01,3
100301,2014-05-01,2
100301,2014-06-01,2
100301,2014-08-01,3
100301,2014-09-01,1
100301,2015-10-01,23
100301,2015-11-01,35
100301,2015-05-01,8
100301,2015-08-01,15
100301,2015-09-01,20
100301,2015-07-01,14
100301,2015-12-01,7
100301,2015-06-01,18
100301,2015-01-01,2
100301,2015-02-01,1
100301,2016-12-01,2
100301,2016-09-01,5
100301,2016-08-01,4
100301,2016-02-01,8
100301,2016-05-01,1
100301,2016-06-01,1
100301,2016-01-01,3
100301,2016-07-01,4
100301,2016-03-01,4
100301,2016-11-01,2
100301,2016-10-01,4
100301,2016-04-01,3
100301,2017-06-01,2
100301,2017-12-01,12
100301,2017-04-01,1
100301,2017-09-01,13
100301,2017-07-01,10
100301,2017-11-01,22
100301,2017-08-01,5
100301,2017-10-01,12
100301,2017-01-01,2
100301,2017-03-01,1
100301,2017-02-01,1
100301,2018-01-01,5
100301,2018-04-01,7
100301,2018-03-01,10
100301,2018-02-01,3
100301,2018-05-01,1
100302,2014-10-01,5
100302,2014-11-01,6
100302,2014-12-01,2
100302,2014-02-01,5
100302,2014-03-01,1
100302,2014-05-01,1
100302,2014-09-01,2
100302,2015-11-01,22
100302,2015-07-01,17
100302,2015-06-01,8
100302,2015-10-01,17
100302,2015-12-01,3
100302,2015-09-01,16
100302,2015-08-01,20
100302,2015-05-01,5
100302,2015-02-01,2
100302,2015-01-01,2
100302,2016-03-01,5
100302,2016-08-01,6
100302,2016-09-01,7
100302,2016-02-01,7
100302,2016-10-01,4
100302,2016-01-01,5
100302,2016-06-01,2
100302,2016-05-01,1
100302,2016-04-01,1
100302,2016-07-01,1
100302,2017-09-01,4
100302,2017-10-01,7
100302,2017-11-01,6
100302,2017-06-01,3
100302,2017-08-01,6
100302,2017-12-01,8
100302,2017-07-01,5
100302,2017-01-01,2
100302,2018-03-01,12
100302,2018-01-01,1
100302,2018-04-01,3
100303,2014-11-01,3
100303,2015-07-01,6
100303,2015-10-01,3
100303,2015-08-01,3
100303,2015-06-01,2
100303,2015-11-01,1
100303,2015-12-01,1
100303,2015-01-01,2
100303,2015-09-01,2
100303,2016-08-01,2
100303,2016-09-01,2
100303,2016-01-01,2
100303,2016-03-01,3
100303,2016-05-01,1
100303,2017-10-01,2
100303,2017-09-01,5
100303,2017-11-01,2
100303,2017-03-01,1
100303,2017-07-01,1
100303,2017-08-01,1
100303,2017-02-01,1
100303,2018-04-01,1
100303,2018-03-01,1
100304,2014-11-01,2
100304,2014-03-01,1
100304,2014-07-01,1
100304,2015-05-01,1
100304,2015-08-01,5
100304,2015-04-01,2
100304,2015-09-01,6
100304,2015-12-01,3
100304,2015-07-01,2
100304,2015-11-01,4
100304,2015-03-01,1
100304,2015-10-01,3
100304,2016-07-01,5
100304,2016-08-01,7
100304,2016-06-01,1
100304,2016-10-01,1
100304,2016-09-01,6
100304,2016-12-01,1
100304,2016-11-01,1
100304,2017-09-01,4
100304,2017-11-01,1
100304,2017-10-01,1
100304,2017-01-01,1
100304,2017-07-01,1
100304,2017-08-01,1
100304,2018-01-01,1
100304,2018-03-01,1
100305,2014-10-01,4
100305,2014-11-01,3
100305,2014-12-01,2
100305,2014-01-01,4
100305,2014-02-01,4
100305,2014-03-01,2
100305,2014-04-01,1
100305,2014-05-01,1
100305,2014-06-01,2
100305,2014-07-01,4
100305,2014-08-01,3
100305,2014-09-01,1
100305,2015-08-01,22
100305,2015-06-01,9
100305,2015-11-01,25
100305,2015-07-01,16
100305,2015-10-01,15
100305,2015-04-01,3
100305,2015-09-01,8
100305,2015-03-01,2
100305,2015-12-01,5
100305,2015-01-01,1
100305,2015-05-01,1
100305,2015-02-01,3
100305,2016-03-01,3
100305,2016-10-01,5
100305,2016-09-01,2
100305,2016-01-01,8
100305,2016-07-01,4
100305,2016-02-01,4
100305,2016-04-01,1
100305,2016-12-01,2
100305,2016-05-01,1
100305,2016-06-01,1
100305,2017-03-01,2
100305,2017-12-01,9
100305,2017-01-01,2
100305,2017-08-01,8
100305,2017-11-01,22
100305,2017-07-01,4
100305,2017-10-01,9
100305,2017-09-01,7
100305,2017-06-01,1
100305,2018-01-01,7
100305,2018-05-01,4
100305,2018-03-01,6
100305,2018-04-01,4
100305,2018-02-01,2
100306,2014-10-01,1
100306,2014-11-01,2
100306,2014-05-01,1
100306,2014-07-01,1
100306,2014-08-01,1
100306,2015-12-01,5
100306,2015-10-01,12
100306,2015-11-01,18
100306,2015-09-01,8
100306,2015-08-01,4
100306,2015-06-01,6
100306,2015-05-01,1
100306,2015-04-01,1
100306,2015-01-01,1
100306,2015-03-01,1
100306,2015-07-01,1
100306,2016-11-01,3
100306,2016-08-01,2
